Player,Pos,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,SCA,SCA90,_TakeOn
"Jan-Niklas Beste (Heidenheim)","FW,MF",89,86,91,93,69,97,84,97
"Beto (Everton)",FW,66,65,46,44,71,58,58,58
"Beto (Udinese)",FW,18,21,0,0,0,25,98,25
"Pep Biel (Augsburg)","MF,FW",28,41,16,18,18,34,61,34
"El Bilal Touré (Atalanta)",FW,40,28,50,57,27,34,35,34
"Tom Bischof (Hoffenheim)","MF,FW",18,21,16,38,0,27,69,27
"Ludovic Blas (Rennes)","FW,MF",85,81,78,83,59,70,45,70
"Myron Boadu (Monaco)",FW,14,0,20,12,27,9,11,9
"Benicio Boaitey (Brighton)","FW,DF",9,14,10,18,18,14,87,14
"Oscar Bobb (Manchester City)","FW,MF",45,56,45,32,45,48,97,48
"Jeremie Boga (Nice)",FW,95,98,95,99,94,89,71,89
"Adama Bojang (Reims)",FW,9,14,16,12,18,14,30,14
"Federico Bonazzoli (Hellas Verona)","FW,MF",37,41,45,47,34,52,35,52
"Victor Boniface (Leverkusen)",FW,92,94,80,78,89,78,65,78
"Ângelo Borges (Strasbourg)","FW,MF",80,86,80,88,50,76,86,76
"Yvandro Borges Sanches (Gladbach)","MF,FW",0,0,10,0,18,9,91,9
"Rafael Borré (Werder Bremen)",FW,50,44,50,56,45,48,26,48
"Gennaro Borrelli (Frosinone)",FW,9,0,10,0,0,0,0,0
"Erik Botheim (Salernitana)","FW,MF",21,14,20,12,27,9,9,9
"Badredine Bouanani (Nice)",FW,35,33,38,47,18,34,94,34
"Mohamed Bouchenna (Clermont Foot)","MF,FW",23,21,0,12,18,14,96,14
"Benjamin Bourigeaud (Rennes)","MF,FW",53,53,64,84,39,96,82,96
"Bilal Boutobba (Clermont Foot)","FW,MF",75,68,74,76,67,60,64,60
"Hugo Boutsingkham (Nantes)","MF,FW",9,0,0,0,0,0,0,0
"Jarrod Bowen (West Ham)",FW,93,88,93,85,97,89,39,89
"Lucas Boyé (Granada)",FW,97,96,72,86,77,88,51,88
"Bilal Brahimi (Nice)",FW,9,0,10,0,18,9,98,9
"Bilal Brahimi (Brest)","FW,MF",43,51,48,47,45,38,92,38
"Julian Brandt (Dortmund)","MF,FW",85,83,90,93,78,98,93,98
"Josip Brekalo (Fiorentina)",FW,45,47,46,49,55,44,46,44
"Brenner (Udinese)","MF,FW",26,21,28,28,18,23,37,23
"Ben Brereton (Sheffield Utd)","FW,MF",58,53,60,57,80,58,43,58
"Ben Brereton (Villarreal)","FW,MF",33,21,28,52,34,20,14,20
"Maximilian Breunig (Freiburg)",FW,0,0,0,0,0,0,0,0
