Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA
505,1299,Yann Karamoh (Torino),FRA,"MF,FW",Torino,Serie A,25,1998,1.8,45,41,40,38,34
506,1300,Yann Karamoh (Montpellier),FRA,"FW,MF",Montpellier,Ligue 1,25,1998,3.2,37,41,31,41,0
507,1305,Jesper Karlsson (Bologna),SWE,FW,Bologna,Serie A,25,1998,3.8,35,37,45,38,50
508,1306,Jon Karrikaburu (Alavés),ESP,"MF,FW",Alavés,La Liga,20,2002,0.2,0,0,0,0,0
509,1309,Silas Katompa (Stuttgart),COD,"FW,MF",Stuttgart,Bundesliga,24,1998,10,88,90,80,76,82
510,1311,Mikkel Kaufmann (Union Berlin),DEN,FW,Union Berlin,Bundesliga,22,2001,5.4,33,28,28,12,39
511,1313,Moise Kean (Juventus),ITA,FW,Juventus,Serie A,23,2000,7.3,63,63,43,35,55
512,1324,Thomas Keller (Heidenheim),GER,"MF,FW",Heidenheim,Bundesliga,23,1999,0,0,0,0,0,0
513,1326,Omari Kellyman (Aston Villa),ENG,FW,Aston Villa,Premier League,17,2005,0.4,0,0,10,12,0
514,1331,Reda Khadra (Reims),GER,"FW,MF",Reims,Ligue 1,22,2001,15.2,82,83,71,80,73
515,1332,Wahbi Khazri (Montpellier),TUN,FW,Montpellier,Ligue 1,32,1991,12.6,68,63,64,68,64
516,1335,Kiké (Alavés),ESP,"FW,MF",Alavés,La Liga,33,1989,15.8,64,65,54,47,69
517,1343,Tim Kleindienst (Heidenheim),GER,FW,Heidenheim,Bundesliga,27,1995,31.9,83,74,75,83,77
518,1345,Justin Kluivert (Bournemouth),NED,"MF,FW",Bournemouth,Premier League,24,1999,21.3,85,80,87,83,92
519,1354,Luca Koleosho (Burnley),ITA,"MF,FW",Burnley,Premier League,18,2004,10.8,89,88,82,83,90
520,1355,Randal Kolo Muani (Paris S-G),FRA,"FW,MF",Paris S-G,Ligue 1,24,1998,14.1,86,83,72,62,77
521,1356,Randal Kolo Muani (Eint Frankfurt),FRA,FW,Eint Frankfurt,Bundesliga,24,1998,1.7,42,33,28,28,27
522,1363,Ibrahima Koné (Almería),MLI,FW,Almería,La Liga,24,1999,3.1,21,14,26,12,39
523,1364,Ibrahima Koné (Lorient),MLI,FW,Lorient,Ligue 1,24,1999,0.4,0,0,0,0,0
524,1370,Christian Kouamé (Fiorentina),CIV,FW,Fiorentina,Serie A,25,1997,12.1,59,51,43,52,45
525,1381,Dawid Kownacki (Werder Bremen),POL,FW,Werder Bremen,Bundesliga,26,1997,4.2,18,21,26,12,34
526,1384,Andrej Kramarić (Hoffenheim),CRO,"MF,FW",Hoffenheim,Bundesliga,32,1991,24.4,78,81,89,89,85
527,1391,Nikola Krstović (Lecce),MNE,FW,Lecce,Serie A,23,2000,26.4,82,84,69,66,78
528,1394,Takefusa Kubo (Real Sociedad),JPN,"FW,MF",Real Sociedad,La Liga,22,2001,23.9,96,97,98,93,98
529,1395,Mohammed Kudus (West Ham),GHA,"FW,MF",West Ham,Premier League,22,2000,27.6,100,100,97,95,94
530,1397,Dejan Kulusevski (Tottenham),SWE,"FW,MF",Tottenham,Premier League,23,2000,30.7,97,96,99,94,99
531,1400,Justin Kumi (Sassuolo),ITA,FW,Sassuolo,Serie A,19,2004,0,0,0,0,0,0
532,1404,Khvicha Kvaratskhelia (Napoli),GEO,FW,Napoli,Serie A,22,2001,30.4,100,100,100,100,99
533,1405,Giorgi Kvernadze (Frosinone),GEO,"FW,DF",Frosinone,Serie A,20,2003,0.7,23,28,0,12,0
534,1406,Moritz-Broni Kwarteng (Bochum),GHA,FW,Bochum,Bundesliga,25,1998,3.1,45,44,34,35,34
535,1407,Grejohn Kyei (Clermont Foot),FRA,FW,Clermont Foot,Ligue 1,27,1995,11.4,60,53,43,49,34
536,1410,Gaëtan Laborde (Nice),FRA,"FW,MF",Nice,Ligue 1,29,1994,21.2,78,70,70,71,77
537,1411,Alexandre Lacazette (Lyon),FRA,FW,Lyon,Ligue 1,32,1991,25.5,72,78,59,65,64
538,1419,Adam Lallana (Brighton),ENG,"MF,FW",Brighton,Premier League,35,1988,9.4,38,28,36,52,39
539,1420,Mathis Lambourde (Rennes),FRA,FW,Rennes,Ligue 1,17,2006,0.1,0,0,10,0,0
540,1421,Érik Lamela (Sevilla),ARG,"FW,MF",Sevilla,La Liga,31,1992,5.1,43,44,40,53,39
541,1422,Mohamed Lamine Bayo (Le Havre),GUI,FW,Le Havre,Ligue 1,25,1998,15.4,70,70,54,59,73
542,1423,Didier Lamkel Zé (Metz),CMR,"FW,MF",Metz,Ligue 1,26,1996,6.1,44,41,48,64,39
543,1424,Tariq Lamptey (Brighton),GHA,"DF,FW",Brighton,Premier League,22,2000,10.2,47,41,75,61,69
544,1426,Gianluca Lapadula (Cagliari),PER,FW,Cagliari,Serie A,33,1990,13.4,32,33,34,35,55
545,1429,Cyle Larin (Mallorca),CAN,FW,Mallorca,La Liga,28,1995,20.3,70,63,57,53,78
546,1433,Juanmi Latasa (Getafe),ESP,FW,Getafe,La Liga,22,2001,17.3,38,41,31,47,34
547,1435,Armand Lauriente (Sassuolo),FRA,FW,Sassuolo,Serie A,24,1998,32.3,98,98,98,99,96
548,1437,Lázaro (Almería),BRA,"FW,MF",Almería,La Liga,21,2002,3.2,43,37,26,24,27
549,1439,Darko Lazović (Hellas Verona),SRB,"FW,MF",Hellas Verona,Serie A,32,1990,21.4,57,37,77,66,73
550,1444,Jérémy Le Douaron (Brest),FRA,FW,Brest,Ligue 1,25,1998,18,82,68,79,78,75
551,1449,Rafael Leão (Milan),POR,FW,Milan,Serie A,24,1999,27.9,99,99,99,99,99
552,1450,Adrien Lebeau (Brest),FRA,"MF,FW",Brest,Ligue 1,24,1999,0.6,9,0,10,18,18
553,1471,Robert Lewandowski (Barcelona),POL,FW,Barcelona,La Liga,34,1988,30.6,79,79,77,75,81
554,1472,Jamie Leweling (Stuttgart),GER,"FW,MF",Stuttgart,Bundesliga,22,2001,16.9,81,82,87,84,89
555,1474,Keane Lewis-Potter (Brentford),ENG,"FW,DF",Brentford,Premier League,22,2001,16,81,76,84,79,85
556,1478,Jesper Lindstrøm (Napoli),DEN,"FW,MF",Napoli,Serie A,23,2000,4.8,55,56,50,47,45
557,1479,Jesper Lindstrøm (Eint Frankfurt),DEN,FW,Eint Frankfurt,Bundesliga,23,2000,0.9,21,14,16,28,0
558,1484,Marcin Listkowski (Lecce),POL,FW,Lecce,Serie A,25,1998,0.1,0,0,0,0,0
559,1486,Dejan Ljubicic (Köln),AUT,"MF,FW",Köln,Bundesliga,25,1997,22.8,64,65,76,88,45
560,1487,Javier Llabrés (Mallorca),ESP,"MF,FW",Mallorca,La Liga,20,2002,2.7,30,37,36,35,27
561,1499,Andy Logbo (Le Havre),FRA,FW,Le Havre,Ligue 1,19,2004,2.8,23,33,10,0,18
562,1502,Ademola Lookman (Atalanta),NGA,"FW,MF",Atalanta,Serie A,25,1997,21,90,91,89,86,92
563,1506,Diego López (Valencia),ESP,"MF,FW",Valencia,La Liga,21,2002,29.5,88,83,90,93,90
564,1507,Fermin López (Barcelona),ESP,"MF,FW",Barcelona,La Liga,20,2003,16.1,68,78,76,75,64
565,1523,Anthony Lozano (Getafe),HON,"MF,FW",Getafe,La Liga,30,1993,1,21,14,0,0,0
566,1524,Anthony Lozano (Almería),HON,FW,Almería,La Liga,30,1993,8.6,44,33,43,47,45
567,1526,Lorenzo Lucca (Udinese),ITA,FW,Udinese,Serie A,22,2000,28.8,64,58,38,59,45
568,1529,José Luis Morales (Villarreal),ESP,"FW,MF",Villarreal,La Liga,36,1987,11.6,63,51,66,59,80
569,1532,Romelu Lukaku (Roma),BEL,FW,Roma,Serie A,30,1993,29.3,53,56,73,71,83
570,1534,Dodi Lukebakio (Sevilla),BEL,"FW,MF",Sevilla,La Liga,25,1997,12.5,83,86,79,78,85
571,1541,Zito Luvumbo (Cagliari),ANG,"FW,MF",Cagliari,Serie A,21,2002,21.6,90,86,92,86,96
572,1545,Othmane Maamma (Montpellier),FRA,FW,Montpellier,Ligue 1,17,2005,1,33,41,31,35,34
573,1546,Ian Maatsen (Chelsea),NED,"FW,MF",Chelsea,Premier League,21,2002,2.3,21,0,36,32,27
574,1552,Noni Madueke (Chelsea),ENG,FW,Chelsea,Premier League,21,2002,11.7,90,90,90,82,93
575,1561,Frank Magri (Toulouse),CMR,"FW,MF",Toulouse,Ligue 1,23,1999,16,67,61,68,61,67
576,1563,Jon Magunacelaya (Real Sociedad),ESP,"FW,MF",Real Sociedad,La Liga,23,2000,1.3,23,21,16,18,0
577,1564,Adel Mahamoud (Nantes),COM,FW,Nantes,Ligue 1,20,2003,0.1,9,14,0,0,0
578,1566,Habib Maïga (Metz),CIV,"MF,FW",Metz,Ligue 1,27,1996,1.6,0,0,10,18,0
579,1568,Linton Maina (Köln),GER,"FW,MF",Köln,Bundesliga,24,1999,21.1,80,78,96,95,96
580,1574,Lovro Majer (Wolfsburg),CRO,"MF,FW",Wolfsburg,Bundesliga,25,1998,23.4,78,81,85,84,62
581,1575,Jean-Victor Makengo (Lorient),FRA,"MF,FW",Lorient,Ligue 1,25,1998,5.3,40,37,40,38,0
582,1580,Daniel Maldini (Monza),ITA,"MF,FW",Monza,Serie A,21,2001,3.7,47,51,48,38,55
583,1581,Daniel Maldini (Empoli),ITA,"FW,MF",Empoli,Serie A,21,2001,2.9,44,44,31,38,27
584,1583,Donyell Malen (Dortmund),NED,"FW,MF",Dortmund,Bundesliga,24,1999,19.8,92,92,90,89,96
585,1586,Aaron Malouda (Lille),FRA,FW,Lille,Ligue 1,17,2005,0,0,0,0,0,0
586,1588,David Mamutovic (Mainz 05),GER,"FW,DF",Mainz 05,Bundesliga,22,2000,0.1,0,0,0,0,0
587,1590,Hianga Mananga Mbock (Brest),FRA,"MF,FW",Brest,Ligue 1,23,1999,0.1,0,0,10,18,0
588,1592,Marco Mancosu (Cagliari),ITA,"MF,FW",Cagliari,Serie A,34,1988,1.7,26,28,24,18,0
589,1604,Benson Manuel (Burnley),ANG,"MF,FW",Burnley,Premier League,26,1997,1.3,37,33,26,38,0
590,1608,Solly March (Brighton),ENG,"FW,DF",Brighton,Premier League,29,1994,6.2,45,47,46,38,34
591,1612,Alberto Marí (Valencia),ESP,FW,Valencia,La Liga,22,2001,3.1,23,28,16,12,27
592,1613,José Mari (Cádiz),ESP,"MF,FW",Cádiz,La Liga,35,1987,0.2,0,0,0,0,0
593,1616,Mariano (Sevilla),DOM,"FW,MF",Sevilla,La Liga,29,1993,2.7,14,14,20,24,34
594,1617,Mirko Marić (Monza),CRO,FW,Monza,Serie A,28,1995,3.2,21,14,16,24,18
595,1623,Omar Marmoush (Eint Frankfurt),EGY,"FW,MF",Eint Frankfurt,Bundesliga,24,1999,25.6,95,91,93,91,94
596,1624,Marquinhos (Nantes),BRA,"FW,MF",Nantes,Ligue 1,20,2003,1.7,28,33,16,18,18
597,1629,Roger Martí (Cádiz),ESP,FW,Cádiz,La Liga,32,1991,15.1,33,28,31,57,27
598,1630,Anthony Martial (Manchester Utd),FRA,FW,Manchester Utd,Premier League,27,1995,5,26,21,28,35,18
599,1636,Gabriel Martinelli (Arsenal),BRA,FW,Arsenal,Premier League,22,2001,22.4,95,91,98,89,99
600,1641,Lautaro Martínez (Inter),ARG,FW,Inter,Serie A,25,1997,29.5,85,74,83,76,89
601,1646,Marvin (Las Palmas),ESP,"FW,DF",Las Palmas,La Liga,23,2000,20.6,75,74,85,85,71
602,1652,Roberto Massimo (Stuttgart),GER,"FW,DF",Stuttgart,Bundesliga,22,2000,0.9,9,0,20,18,18
603,1654,Jaime Mata (Getafe),ESP,"FW,MF",Getafe,La Liga,34,1988,19.9,42,47,50,59,55
604,1657,Jean-Philippe Mateta (Crystal Palace),FRA,FW,Crystal Palace,Premier League,26,1997,25.4,84,81,66,57,73
605,1664,Jean Mattéo Bahoya (Eint Frankfurt),FRA,"MF,FW",Eint Frankfurt,Bundesliga,18,2005,2,35,41,28,35,34
606,1669,Neal Maupay (Brentford),FRA,FW,Brentford,Premier League,26,1996,14.7,64,51,58,69,69
607,1670,Neal Maupay (Everton),FRA,FW,Everton,Premier League,26,1996,1.2,0,0,10,12,18
608,1671,Aïman Maurer (Clermont Foot),MAR,"MF,FW",Clermont Foot,Ligue 1,18,2004,0.6,18,21,10,12,18
609,1675,Eric Maxim Choupo-Moting (Bayern Munich),CMR,"MF,FW",Bayern Munich,Bundesliga,34,1989,8,70,79,60,35,71
610,1678,Borja Mayoral (Getafe),ESP,FW,Getafe,La Liga,26,1997,23.9,73,72,64,76,67
611,1679,Senny Mayulu (Paris S-G),FRA,"FW,MF",Paris S-G,Ligue 1,17,2006,3.6,33,37,24,24,34
612,1680,Youssef Maziz (Metz),FRA,"FW,MF",Metz,Ligue 1,25,1998,1.4,18,21,16,24,0
613,1688,Kylian Mbappé (Paris S-G),FRA,FW,Paris S-G,Ligue 1,24,1998,24,98,98,97,96,99
614,1689,Malick Mbaye (Metz),SEN,"MF,FW",Metz,Ligue 1,19,2004,1.7,9,14,34,32,27
615,1693,Bryan Mbeumo (Brentford),CMR,FW,Brentford,Premier League,23,1999,21.8,89,82,90,91,93
616,1694,Christ Mbondi (Reims),FRA,FW,Reims,Ligue 1,18,2004,0,0,0,0,0,0
617,1695,Jordi Mboula (Hellas Verona),ESP,"FW,MF",Hellas Verona,Serie A,24,1999,3.4,23,21,38,18,45
618,1696,Nathanael Mbuku (Augsburg),FRA,FW,Augsburg,Bundesliga,21,2002,0.1,9,0,10,0,18
619,1697,James Mcatee (Sheffield Utd),ENG,"MF,FW",Sheffield Utd,Premier League,20,2002,20.2,91,88,83,80,79
620,1699,Oliver McBurnie (Sheffield Utd),SCO,FW,Sheffield Utd,Premier League,27,1996,14.2,44,41,28,49,39
621,1701,John McGinn (Aston Villa),SCO,"MF,FW",Aston Villa,Premier League,28,1994,33.3,93,96,85,87,64
622,1704,Dwight McNeil (Everton),ENG,"MF,FW",Everton,Premier League,23,1999,32.1,85,86,91,95,73
623,1705,Scott McTominay (Manchester Utd),SCO,"MF,FW",Manchester Utd,Premier League,26,1996,21.1,49,47,66,68,39
624,1711,Hannibal Mejbri (Manchester Utd),TUN,"MF,FW",Manchester Utd,Premier League,20,2003,1.5,23,21,16,0,0
625,1713,Óscar Melendo (Granada),ESP,"MF,FW",Granada,La Liga,25,1997,12.5,52,56,58,64,0
626,1714,Gonzalo Melero (Almería),ESP,"MF,FW",Almería,La Liga,29,1994,12.3,45,44,60,49,34
627,1717,Memphis (Atlético Madrid),NED,FW,Atlético Madrid,La Liga,29,1994,9.9,67,72,50,49,55
628,1721,Brais Méndez (Real Sociedad),ESP,"MF,FW",Real Sociedad,La Liga,26,1997,26.8,81,80,77,85,75
629,1741,Omenuke Mfulu (Las Palmas),COD,"MF,FW",Las Palmas,La Liga,29,1994,0.9,9,14,10,12,0
630,1742,Lucas Michal (Monaco),FRA,FW,Monaco,Ligue 1,18,2005,0.1,0,0,10,0,0
631,1743,Sven Michel (Augsburg),GER,"FW,MF",Augsburg,Bundesliga,33,1990,6.5,50,53,28,24,39
632,1744,Miguel (Alavés),ESP,"FW,MF",Alavés,La Liga,23,1999,0.7,0,0,10,0,18
633,1745,Georges Mikautadze (Metz),GEO,FW,Metz,Ligue 1,22,2000,19.4,93,92,81,81,85
634,1748,Arkadiusz Milik (Juventus),POL,FW,Juventus,Serie A,29,1994,10.2,33,37,43,41,34
635,1752,Enzo Millot (Stuttgart),FRA,"MF,FW",Stuttgart,Bundesliga,21,2002,24.9,91,94,78,85,73
636,1754,Jovan Milošević (Stuttgart),SRB,"FW,MF",Stuttgart,Bundesliga,18,2005,0.3,14,21,10,18,0
637,1755,Marko Milovanović (Almería),SRB,"FW,MF",Almería,La Liga,19,2003,3.4,21,14,16,12,18
638,1764,Rafa Mir (Sevilla),ESP,"FW,MF",Sevilla,La Liga,26,1997,4.3,26,21,20,18,34
639,1766,Aleksei Miranchuk (Atalanta),RUS,"MF,FW",Atalanta,Serie A,27,1995,13.1,77,70,76,81,64
640,1773,Kaoru Mitoma (Brighton),JPN,FW,Brighton,Premier League,26,1997,16.5,92,91,97,92,98
641,1774,Aleksandar Mitrović (Fulham),SRB,FW,Fulham,Premier League,28,1994,0.4,18,28,0,0,0
642,1775,Stefan Mitrović (Hellas Verona),SRB,"FW,MF",Hellas Verona,Serie A,20,2002,4.3,40,41,45,41,27
643,1782,Terem Moffi (Nice),NGA,FW,Nice,Ligue 1,24,1999,21.7,64,74,62,69,69
644,1783,Mostafa Mohamed (Nantes),EGY,FW,Nantes,Ligue 1,25,1997,22.2,66,65,60,62,64
645,1784,Dion Moise Sahi (Strasbourg),CIV,"MF,FW",Strasbourg,Ligue 1,21,2001,7,38,33,45,47,39
646,1786,Alberto Moleiro (Las Palmas),ESP,"FW,MF",Las Palmas,La Liga,19,2003,20,95,97,92,96,85
647,1788,Florent Mollet (Nantes),FRA,"MF,FW",Nantes,Ligue 1,31,1991,23.1,66,61,64,78,62
648,1795,Kieffer Moore (Bournemouth),WAL,"FW,MF",Bournemouth,Premier League,30,1992,1.2,18,14,16,0,0
649,1797,Álvaro Morata (Atlético Madrid),ESP,FW,Atlético Madrid,La Liga,30,1992,21.2,67,70,59,53,78
650,1798,Diego Moreira (Lyon),POR,"FW,MF",Lyon,Ligue 1,18,2004,3,32,21,38,32,34
651,1801,Gerard Moreno (Villarreal),ESP,FW,Villarreal,La Liga,31,1992,24.6,90,93,79,85,84
652,1804,Ilaix Moriba (Getafe),GUI,"MF,FW",Getafe,La Liga,20,2003,6.7,40,33,34,41,27
653,1807,Carlton Morris (Luton Town),ENG,"FW,MF",Luton Town,Premier League,27,1995,31.8,80,87,73,79,79
654,1810,Dany Mota (Monza),POR,"FW,MF",Monza,Serie A,25,1998,22.8,77,68,96,99,91
655,1811,Lebo Mothiba (Strasbourg),RSA,FW,Strasbourg,Ligue 1,27,1996,6.9,23,33,34,35,45
656,1812,Youssoufa Moukoko (Dortmund),GER,FW,Dortmund,Bundesliga,18,2004,6.9,53,56,50,41,64
657,1813,Steve Mounié (Brest),BEN,FW,Brest,Ligue 1,28,1994,19.7,45,56,59,69,50
658,1814,Mason Mount (Manchester Utd),ENG,"MF,FW",Manchester Utd,Premier League,24,1999,5.7,37,33,36,32,27
659,1817,Divin Mubama (West Ham),ENG,FW,West Ham,Premier League,18,2004,0.9,0,0,0,12,0
660,1818,Mykhailo Mudryk (Chelsea),UKR,FW,Chelsea,Premier League,22,2001,17.5,89,91,93,92,93
661,1821,Samuele Mulattieri (Sassuolo),ITA,"FW,MF",Sassuolo,Serie A,22,2000,5.1,43,33,34,41,55
662,1826,Thomas Müller (Bayern Munich),GER,"MF,FW",Bayern Munich,Bundesliga,33,1989,18.4,49,56,74,82,62
663,1829,Iker Muniain (Athletic Club),ESP,"MF,FW",Athletic Club,La Liga,30,1992,6.6,61,61,54,53,39
664,1830,Rodrigo Muniz (Fulham),BRA,FW,Fulham,Premier League,22,2001,17.7,48,37,34,28,39
665,1832,Álvaro Muñoz (Real Madrid),URU,FW,Real Madrid,La Liga,19,2004,0,14,21,0,12,0
666,1838,Luis Muriel (Atalanta),COL,"FW,MF",Atalanta,Serie A,32,1991,4.5,50,44,56,59,45
667,1840,Vedat Muriqi (Mallorca),KVX,FW,Mallorca,La Liga,29,1994,25.9,57,61,57,59,59
668,1841,Alex Murphy (Newcastle Utd),IRL,"DF,FW",Newcastle Utd,Premier League,19,2004,0.1,0,0,0,0,0
669,1842,Jacob Murphy (Newcastle Utd),ENG,"FW,DF",Newcastle Utd,Premier League,28,1995,13.2,57,61,70,74,75
670,1843,Yunus Musah (Milan),USA,"MF,FW",Milan,Serie A,20,2002,16.4,75,78,79,84,50
671,1844,Jamal Musiala (Bayern Munich),GER,"MF,FW",Bayern Munich,Bundesliga,20,2003,19.5,99,99,95,94,91
672,1845,Florent Muslija (Freiburg),KVX,"MF,FW",Freiburg,Bundesliga,25,1998,1.2,14,14,28,18,27
673,1847,Kingstone Mutandwa (Cagliari),ZAM,"FW,MF",Cagliari,Serie A,20,2003,0.4,18,14,10,12,0
674,1849,Joel Mvuka (Lorient),NOR,"DF,FW",Lorient,Ligue 1,20,2002,2.2,38,28,24,24,0
675,1850,Junior Mwanga (Strasbourg),FRA,"MF,FW",Strasbourg,Ligue 1,20,2003,16.1,75,83,65,65,50
676,1856,Nathan N'Goumou (Gladbach),FRA,"FW,MF",Gladbach,Bundesliga,23,2000,15.4,81,75,81,84,87
677,1859,Bilal Nadir (Marseille),FRA,"MF,FW",Marseille,Ligue 1,19,2003,1.3,14,14,20,24,18
678,1862,Keito Nakamura (Reims),JPN,"FW,MF",Reims,Ligue 1,23,2000,15.3,63,74,79,71,78
679,1867,Roberto Navarro (Cádiz),ESP,"MF,FW",Cádiz,La Liga,21,2002,21,95,96,91,96,75
680,1872,Bassirou Ndiaye (Lorient),SEN,FW,Lorient,Ligue 1,21,2002,1.7,28,21,10,18,0
681,1873,Iliman Ndiaye (Marseille),SEN,"FW,MF",Marseille,Ligue 1,23,2000,18,89,93,81,79,75
682,1875,Rassoul Ndiaye (Le Havre),SEN,"MF,FW",Le Havre,Ligue 1,21,2001,5.8,40,47,31,41,0
683,1876,Michael Ndiweni (Newcastle Utd),ENG,FW,Newcastle Utd,Premier League,19,2003,0,0,0,0,0,0
684,1878,Dan Ndoye (Bologna),SUI,"FW,MF",Bologna,Serie A,22,2000,19.7,92,88,93,92,90
685,1881,Álvaro Negredo (Cádiz),ESP,"FW,MF",Cádiz,La Liga,37,1985,0.6,14,21,0,0,0
686,1882,Reiss Nelson (Arsenal),ENG,FW,Arsenal,Premier League,23,1999,3,28,14,36,32,39
687,1885,Pedro Neto (Wolves),POR,"FW,MF",Wolves,Premier League,23,2000,16.8,91,90,95,95,95
688,1890,Jessic Ngankam (Mainz 05),GER,"FW,MF",Mainz 05,Bundesliga,23,2000,2,28,37,20,24,39
689,1891,Jessic Ngankam (Eint Frankfurt),GER,FW,Eint Frankfurt,Bundesliga,23,2000,3.1,30,28,16,18,18
690,1892,Cyril Ngonge (Hellas Verona),BEL,"FW,MF",Hellas Verona,Serie A,23,2000,15.9,85,84,82,76,80
691,1893,Cyril Ngonge (Napoli),BEL,FW,Napoli,Serie A,23,2000,3.5,43,47,54,44,50
692,1894,Steve Ngoura (Le Havre),FRA,"FW,MF",Le Havre,Ligue 1,18,2005,2.5,21,28,20,24,18
693,1896,M'Baye Niang (Empoli),SEN,FW,Empoli,Serie A,28,1994,7.9,43,37,45,41,64
694,1898,Shamar Nicholson (Clermont Foot),JAM,FW,Clermont Foot,Ligue 1,26,1997,16.5,56,47,54,59,73
695,1903,Justin Njinmah (Werder Bremen),GER,FW,Werder Bremen,Bundesliga,22,2000,11.3,85,82,72,74,82
696,1904,Eddie Nketiah (Arsenal),ENG,FW,Arsenal,Premier League,24,1999,12,60,47,59,52,67
697,1906,Christopher Nkunku (Chelsea),FRA,"FW,MF",Chelsea,Premier League,25,1997,4.9,30,21,38,35,27
698,1908,Lukas Nmecha (Wolfsburg),GER,FW,Wolfsburg,Bundesliga,24,1998,0.5,0,0,0,12,0
699,1912,Arnaud Nordin (Montpellier),FRA,"FW,MF",Montpellier,Ligue 1,25,1998,13.8,80,88,84,88,87
700,1915,Tijjani Noslin (Hellas Verona),NED,"FW,MF",Hellas Verona,Serie A,24,1999,14.9,55,47,66,68,71
701,1916,Randy Nteka (Rayo Vallecano),ANG,"FW,MF",Rayo Vallecano,La Liga,25,1997,6.4,44,44,43,38,50
702,1917,Ernest Nuamah (Lyon),GHA,"FW,MF",Lyon,Ligue 1,19,2003,20.4,96,95,95,96,93
703,1922,Darwin Núñez (Liverpool),URU,FW,Liverpool,Premier League,24,1999,22.7,74,65,85,81,93
704,1925,Ethan Nwaneri (Arsenal),ENG,FW,Arsenal,Premier League,16,2007,0.2,9,0,16,18,0
705,1926,Simeon Nwankwo (Salernitana),NGA,FW,Salernitana,Serie A,31,1992,7.6,14,14,28,24,50
706,1929,Rabby Nzingoula (Strasbourg),CGO,"MF,FW",Strasbourg,Ligue 1,17,2005,1.5,21,21,20,24,18
707,1930,M'Bala Nzola (Fiorentina),ANG,FW,Fiorentina,Serie A,26,1996,17.2,60,63,58,57,64
708,1933,Mark O'Mahony (Brighton),IRL,FW,Brighton,Premier League,18,2005,0.7,0,0,0,0,0
709,1935,Michael Obafemi (Burnley),IRL,"FW,MF",Burnley,Premier League,23,2000,0.2,18,28,0,0,0
710,1939,Brian Ocampo (Cádiz),URU,"MF,FW",Cádiz,La Liga,24,1999,2.8,48,53,54,57,18
711,1940,Lucas Ocampos (Sevilla),ARG,"FW,MF",Sevilla,La Liga,29,1994,31.9,97,95,97,98,92
712,1942,Jens Odgaard (Bologna),DEN,"FW,MF",Bologna,Serie A,24,1999,4.8,37,33,36,24,50
713,1943,Wilson Odobert (Burnley),FRA,"MF,FW",Burnley,Premier League,18,2004,23.3,95,96,95,92,96
714,1950,Noah Okafor (Milan),SUI,"FW,MF",Milan,Serie A,23,2000,9.9,63,63,66,49,73
715,1951,David Okereke (Torino),NGA,"FW,MF",Torino,Serie A,25,1997,2.8,26,14,34,12,55
716,1954,Masaya Okugawa (Augsburg),JPN,"FW,DF",Augsburg,Bundesliga,27,1996,0.4,9,0,0,12,0
717,1956,Aingeru Olabarrieta (Athletic Club),ESP,FW,Athletic Club,La Liga,17,2005,0.1,0,0,10,0,0
718,1957,Michael Olakigbe (Brentford),ENG,"DF,FW",Brentford,Premier League,19,2004,0.7,35,28,38,32,34
719,1960,Mathias Olesen (Köln),LUX,"MF,FW",Köln,Bundesliga,22,2001,1.2,9,14,16,12,0
720,1961,Michael Olise (Crystal Palace),FRA,"FW,MF",Crystal Palace,Premier League,21,2001,14.2,90,91,88,89,88
721,1969,Samu Omorodion (Alavés),ESP,FW,Alavés,La Liga,19,2004,21.3,80,78,67,61,85
722,1970,Samu Omorodion (Granada),ESP,FW,Granada,La Liga,19,2004,0.9,0,0,0,0,0
723,1974,Ryan One (Sheffield Utd),SCO,FW,Sheffield Utd,Premier League,17,2006,0.1,0,0,10,12,0
724,1975,Karim Onisiwo (Mainz 05),AUT,"FW,MF",Mainz 05,Bundesliga,31,1992,16.6,74,74,63,62,62
725,1979,Loïs Openda (RB Leipzig),BEL,FW,RB Leipzig,Bundesliga,23,2000,30,84,75,91,77,93
726,1980,Royce Openda Owaga (Lorient),GAB,FW,Lorient,Ligue 1,21,2002,0.2,14,14,0,0,0
727,1982,Leon Opitz (Werder Bremen),GER,"FW,DF",Werder Bremen,Bundesliga,18,2005,0.2,14,14,10,12,18
728,1983,Gift Orban (Lyon),NGA,FW,Lyon,Ligue 1,21,2002,5.3,38,37,34,28,59
729,1986,Divock Origi (Nott'ham Forest),BEL,FW,Nott'ham Forest,Premier League,28,1995,6.7,53,51,56,44,62
730,1987,Gaetano Oristanio (Cagliari),ITA,"FW,MF",Cagliari,Serie A,20,2002,12.3,82,88,62,66,62
731,1989,Riccardo Orsolini (Bologna),ITA,"FW,MF",Bologna,Serie A,26,1997,19.9,88,87,81,81,84
732,1995,Victor Osimhen (Napoli),NGA,FW,Napoli,Serie A,24,1998,22,71,68,71,71,75
733,1998,William Osula (Sheffield Utd),DEN,FW,Sheffield Utd,Premier League,19,2003,8.7,44,28,31,41,34
734,1999,Dango Ouattara (Bournemouth),BFA,"FW,DF",Bournemouth,Premier League,21,2002,13.7,75,76,78,71,79
735,2000,Kassoum Ouattara (Monaco),FRA,"DF,FW",Monaco,Ligue 1,18,2004,7.1,47,47,69,61,59
