Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,TakeOns_Att,TakeOns_Succ,Carries_PrgC,Carries_into_finalthird,Carries_into_PA
128,306,Pep Biel (Augsburg),ESP,"MF,FW",Augsburg,Bundesliga,26,1996,3.2,28,41,16,18,18
129,308,El Bilal Touré (Atalanta),MLI,FW,Atalanta,Serie A,21,2001,4.4,40,28,50,57,27
130,313,Tom Bischof (Hoffenheim),GER,"MF,FW",Hoffenheim,Bundesliga,18,2005,2,18,21,16,38,0
131,320,Ludovic Blas (Rennes),FRA,"FW,MF",Rennes,Ligue 1,25,1997,17.4,85,81,78,83,59
132,324,Myron Boadu (Monaco),NED,FW,Monaco,Ligue 1,22,2001,0.9,14,0,20,12,27
133,325,Benicio Boaitey (Brighton),ENG,"FW,DF",Brighton,Premier League,19,2004,0.4,9,14,10,18,18
134,327,Oscar Bobb (Manchester City),NOR,"FW,MF",Manchester City,Premier League,20,2003,3.4,45,56,45,32,45
135,329,Jeremie Boga (Nice),CIV,FW,Nice,Ligue 1,26,1997,22.2,95,98,95,99,94
136,333,Adama Bojang (Reims),GAM,FW,Reims,Ligue 1,19,2004,0.9,9,14,16,12,18
137,337,Federico Bonazzoli (Hellas Verona),ITA,"FW,MF",Hellas Verona,Serie A,26,1997,11.3,37,41,45,47,34
138,340,Victor Boniface (Leverkusen),NGA,FW,Leverkusen,Bundesliga,22,2000,17.2,92,94,80,78,89
139,344,Ângelo Borges (Strasbourg),BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,12.2,80,86,80,88,50
140,346,Yvandro Borges Sanches (Gladbach),LUX,"MF,FW",Gladbach,Bundesliga,19,2004,0.2,0,0,10,0,18
141,348,Rafael Borré (Werder Bremen),COL,FW,Werder Bremen,Bundesliga,27,1995,11,50,44,50,56,45
142,349,Gennaro Borrelli (Frosinone),ITA,FW,Frosinone,Serie A,23,2000,0.3,9,0,10,0,0
143,351,Erik Botheim (Salernitana),NOR,"FW,MF",Salernitana,Serie A,23,2000,3.5,21,14,20,12,27
144,355,Badredine Bouanani (Nice),ALG,FW,Nice,Ligue 1,18,2004,1.8,35,33,38,47,18
