Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA _TakeOn
23,56,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,91,90,83
24,60,David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,0.6,9,17,0
25,72,Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,9,10,0
26,73,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,17,12,34
27,74,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,9.6,60,70,76
28,75,Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,60,38,76
29,76,Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,66,70,61
30,78,Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,32,38,34
31,80,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,10.7,55,48,61
32,81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,75,38,61
33,82,Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,81,50,91
34,89,Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,96,79,70
35,93,Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,9.9,46,26,0
36,94,Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,39,29,61
37,95,Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,41,77,76
38,98,Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,21.7,74,35,76
39,107,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,60,57,70
40,108,Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,92,57,70
41,110,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,25,62,0
42,115,Jaidon Anthony,ENG,FW,Bournemouth,Premier League,23,1999,1.7,17,20,34
43,117,Michail Antonio,JAM,FW,West Ham,Premier League,33,1990,18.8,60,20,76
44,118,Antony,BRA,FW,Manchester Utd,Premier League,23,2000,14.7,77,74,51
45,119,Christopher Antwi-Adjei,GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,72,70,51
46,120,Houssem Aouar,ALG,"MF,FW",Roma,Serie A,25,1998,8.4,47,42,34
47,121,Stredair Appuah,FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,14,30,34
48,128,Cameron Archer,ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,73,38,91
49,131,Adu Ares,ESP,FW,Athletic Club,La Liga,21,2001,2.9,17,11,34
50,134,Matias Arezo,URU,FW,Granada,La Liga,20,2002,4.1,23,13,0
51,137,José Arnaiz,ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,66,77,51
52,138,Hákon Arnar Haraldsson,ISL,"FW,MF",Lille,Ligue 1,20,2003,14.3,61,40,61
53,139,Marko Arnautović,AUT,FW,Inter,Serie A,34,1989,8.9,50,48,0
54,141,Mohamed El Arouch,FRA,FW,Lyon,Ligue 1,19,2004,0,0,0,0
55,142,Sergio Arribas,ESP,"MF,FW",Almería,La Liga,21,2001,22.7,92,80,61
56,145,Takuma Asano,JPN,"FW,MF",Bochum,Bundesliga,28,1994,22.1,82,56,76
57,146,Marco Asensio,ESP,"MF,FW",Paris S-G,Ligue 1,27,1996,12.4,75,83,34
58,148,Joel Asoro,SWE,"FW,MF",Metz,Ligue 1,24,1999,9.4,47,33,51
59,149,Jonathan Asp Jensen,DEN,FW,Bayern Munich,Bundesliga,17,2006,0,0,0,0
60,150,Iago Aspas,ESP,FW,Celta Vigo,La Liga,35,1987,30.1,100,95,87
61,155,Arthur Atta,FRA,"MF,FW",Metz,Ligue 1,20,2003,10.3,44,22,51
62,157,Pierre-Emerick Aubameyang,GAB,FW,Marseille,Ligue 1,34,1989,29.1,86,44,83
63,163,Ezequiel Ávila,ARG,"FW,MF",Osasuna,La Liga,29,1994,9.6,63,77,0
64,164,Ezequiel Ávila,ARG,FW,Betis,La Liga,29,1994,3.3,32,49,51
65,165,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,Premier League,25,1997,11.6,56,45,51
66,166,André Ayew,GHA,FW,Le Havre,Ligue 1,33,1989,12.3,52,31,76
67,167,Jordan Ayew,GHA,"FW,MF",Crystal Palace,Premier League,31,1991,28.3,85,44,76
68,169,Sardar Azmoun,IRN,"FW,MF",Roma,Serie A,28,1995,6.5,43,51,34
69,176,Shavy Babicka,GAB,"FW,MF",Toulouse,Ligue 1,23,2000,4.1,32,30,0
70,177,Aliou Badara Baldé,GUI,"FW,DF",Nice,Ligue 1,20,2002,0.8,23,96,51
71,182,Alex Baena,ESP,"MF,FW",Villarreal,La Liga,22,2001,28.7,99,92,93
72,183,Jaime Báez,URU,"FW,MF",Frosinone,Serie A,28,1995,5.6,40,53,34
73,185,Leon Bailey,JAM,"MF,FW",Aston Villa,Premier League,25,1997,23,93,83,91
74,188,Nedim Bajrami,ALB,"MF,FW",Sassuolo,Serie A,24,1999,14.6,74,68,61
75,189,Cédric Bakambu,COD,FW,Betis,La Liga,32,1991,2.2,23,36,0
76,193,Dilane Bakwa,FRA,"FW,MF",Strasbourg,Ligue 1,20,2002,24.2,95,86,96
77,194,Tommaso Baldanzi,ITA,"MF,FW",Empoli,Serie A,20,2003,8.3,63,85,61
78,195,Tommaso Baldanzi,ITA,"FW,MF",Roma,Serie A,20,2003,5.8,49,79,70
79,203,Folarin Balogun,USA,FW,Monaco,Ligue 1,22,2001,18.8,80,63,83
80,204,Jonathan Bamba,CIV,"MF,FW",Celta Vigo,La Liga,27,1996,22,88,71,83
81,205,Mohamed Bamba,CIV,FW,Lorient,Ligue 1,21,2001,12.6,58,43,61
82,206,Samuel Bamba,GER,FW,Dortmund,Bundesliga,19,2004,0.5,14,77,0
83,207,Lameck Banda,ZAM,FW,Lecce,Serie A,22,2001,15,80,82,98
84,209,Mamady Bangré,BFA,"FW,MF",Toulouse,Ligue 1,22,2001,1.1,27,96,34
85,211,Léo Baptistão,BRA,FW,Almería,La Liga,30,1992,20.4,66,24,70
86,213,Antonín Barák,CZE,"MF,FW",Fiorentina,Serie A,28,1994,9,56,66,34
87,214,Valentín Barco,ARG,"DF,FW",Brighton,Premier League,19,2004,3.4,29,37,0
88,215,Bradley Barcola,FRA,FW,Lyon,Ligue 1,20,2002,3,23,18,0
89,216,Bradley Barcola,FRA,"FW,MF",Paris S-G,Ligue 1,20,2002,15.2,84,88,96
90,219,Kike Barja,ESP,"FW,MF",Osasuna,La Liga,26,1997,3.4,36,70,34
91,221,Aymen Barkok,MAR,"MF,FW",Mainz 05,Bundesliga,25,1998,3.6,40,83,34
92,222,Harvey Barnes,ENG,"FW,MF",Newcastle Utd,Premier League,25,1997,8.9,55,63,76
93,225,Ander Barrenetxea,ESP,"FW,MF",Real Sociedad,La Liga,21,2001,15.9,67,45,87
94,241,Christoph Baumgartner,AUT,"MF,FW",RB Leipzig,Bundesliga,23,1999,12.9,70,69,61
95,242,Bebé,CPV,"MF,FW",Rayo Vallecano,La Liga,33,1990,2.4,29,67,0
96,243,Ihlas Bebou,TOG,"FW,DF",Hoffenheim,Bundesliga,29,1994,18.2,72,46,87
97,244,Mohamed Bechikh,FRA,"FW,MF",Strasbourg,Ligue 1,18,2005,0.2,0,0,0
98,245,Adrian Beck,GER,"MF,FW",Heidenheim,Bundesliga,26,1997,10.8,55,47,61
99,247,Sheraldo Becker,SUR,"FW,MF",Real Sociedad,La Liga,28,1995,8.6,44,32,34
100,248,Sheraldo Becker,SUR,"FW,MF",Union Berlin,Bundesliga,28,1995,7.2,53,78,51
101,249,Chris Bedia,CIV,"FW,MF",Union Berlin,Bundesliga,27,1996,1.6,20,41,0
102,251,Donny van de Beek,NED,"MF,FW",Eint Frankfurt,Bundesliga,26,1997,4,27,20,0
103,252,Yanis Begraoui,MAR,"FW,MF",Toulouse,Ligue 1,22,2001,3.3,27,29,0
104,253,Kevin Behrens,GER,FW,Wolfsburg,Bundesliga,32,1991,6.8,43,46,34
105,254,Kevin Behrens,GER,FW,Union Berlin,Bundesliga,32,1991,14,61,42,0
106,255,Maximilian Beier,GER,"FW,MF",Hoffenheim,Bundesliga,20,2002,26.9,87,52,95
107,256,Jérémie Bela,ANG,"MF,FW",Clermont Foot,Ligue 1,30,1993,2.3,27,59,0
108,263,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,Premier League,25,1998,10.6,56,51,83
109,264,Jean-Ricner Bellegarde,FRA,"MF,FW",Strasbourg,Ligue 1,25,1998,3,25,26,51
110,268,Andrea Belotti,ITA,FW,Fiorentina,Serie A,29,1993,10.5,51,37,0
111,269,Andrea Belotti,ITA,FW,Roma,Serie A,29,1993,7.5,49,59,61
112,271,Lucas Beltrán,ARG,"FW,MF",Fiorentina,Serie A,22,2001,18.8,77,57,51
113,272,Eliesse Ben Seghir,MAR,"MF,FW",Monaco,Ligue 1,18,2005,4.8,46,83,51
114,274,Wissam Ben Yedder,FRA,FW,Monaco,Ligue 1,32,1990,25.7,86,53,61
115,277,Saïd Benrahma,ALG,"FW,MF",West Ham,Premier League,27,1995,6.9,52,75,61
116,278,Saïd Benrahma,ALG,"FW,MF",Lyon,Ligue 1,27,1995,8.6,64,86,51
117,284,Domenico Berardi,ITA,FW,Sassuolo,Serie A,28,1994,15.9,81,80,51
118,286,Álex Berenguer,ESP,FW,Athletic Club,La Liga,28,1995,17.7,79,67,70
119,288,Jóhann Berg Guðmundsson,ISL,"MF,FW",Burnley,Premier League,32,1990,13.2,74,75,0
120,291,Medon Berisha,ALB,"FW,MF",Lecce,Serie A,19,2003,2.3,29,69,0
121,292,Mergim Berisha,GER,FW,Hoffenheim,Bundesliga,25,1998,1.6,20,41,34
122,293,Mergim Berisha,GER,FW,Augsburg,Bundesliga,25,1998,1.4,23,73,0
123,294,Isaac Bernal,ESP,FW,Sevilla,La Liga,23,2000,11.5,55,42,89
124,297,Matúš Bero,SVK,"MF,FW",Bochum,Bundesliga,27,1995,18.5,55,16,0
125,300,Jan-Niklas Beste,GER,"FW,MF",Heidenheim,Bundesliga,24,1999,28.9,97,84,51
126,301,Beto,GNB,FW,Everton,Premier League,25,1998,10.6,58,58,83
127,302,Beto,GNB,FW,Udinese,Serie A,25,1998,0.8,25,98,0
128,306,Pep Biel,ESP,"MF,FW",Augsburg,Bundesliga,26,1996,3.2,34,61,34
129,308,El Bilal Touré,MLI,FW,Atalanta,Serie A,21,2001,4.4,34,35,0
130,313,Tom Bischof,GER,"MF,FW",Hoffenheim,Bundesliga,18,2005,2,27,69,0
131,320,Ludovic Blas,FRA,"FW,MF",Rennes,Ligue 1,25,1997,17.4,70,45,83
132,324,Myron Boadu,NED,FW,Monaco,Ligue 1,22,2001,0.9,9,11,0
133,325,Benicio Boaitey,ENG,"FW,DF",Brighton,Premier League,19,2004,0.4,14,87,0
134,327,Oscar Bobb,NOR,"FW,MF",Manchester City,Premier League,20,2003,3.4,48,97,70
135,329,Jeremie Boga,CIV,FW,Nice,Ligue 1,26,1997,22.2,89,71,97
136,333,Adama Bojang,GAM,FW,Reims,Ligue 1,19,2004,0.9,14,30,34
137,337,Federico Bonazzoli,ITA,"FW,MF",Hellas Verona,Serie A,26,1997,11.3,52,35,0
138,340,Victor Boniface,NGA,FW,Leverkusen,Bundesliga,22,2000,17.2,78,65,99
139,344,Ângelo Borges,BRA,"FW,MF",Strasbourg,Ligue 1,18,2004,12.2,76,86,76
140,346,Yvandro Borges Sanches,LUX,"MF,FW",Gladbach,Bundesliga,19,2004,0.2,9,91,0
141,348,Rafael Borré,COL,FW,Werder Bremen,Bundesliga,27,1995,11,48,26,0
142,349,Gennaro Borrelli,ITA,FW,Frosinone,Serie A,23,2000,0.3,0,0,0
143,351,Erik Botheim,NOR,"FW,MF",Salernitana,Serie A,23,2000,3.5,9,9,0
144,355,Badredine Bouanani,ALG,FW,Nice,Ligue 1,18,2004,1.8,34,94,0
145,357,Mohamed Bouchenna,FRA,"MF,FW",Clermont Foot,Ligue 1,17,2006,0.3,14,96,51
146,361,Benjamin Bourigeaud,FRA,"MF,FW",Rennes,Ligue 1,29,1994,26.9,96,82,51
147,362,Bilal Boutobba,FRA,"FW,MF",Clermont Foot,Ligue 1,24,1998,10.3,60,64,70
148,363,Hugo Boutsingkham,FRA,"MF,FW",Nantes,Ligue 1,20,2003,0.1,0,0,0
149,365,Jarrod Bowen,ENG,FW,West Ham,Premier League,26,1996,33.5,89,39,83
150,366,Lucas Boyé,ARG,FW,Granada,La Liga,27,1996,28.2,88,51,93
151,369,Bilal Brahimi,ALG,FW,Nice,Ligue 1,23,2000,0.1,9,98,0
152,370,Bilal Brahimi,ALG,"FW,MF",Brest,Ligue 1,23,2000,2.5,38,92,0
153,372,Julian Brandt,GER,"MF,FW",Dortmund,Bundesliga,27,1996,24.7,98,93,87
154,380,Josip Brekalo,CRO,FW,Fiorentina,Serie A,25,1998,7.2,44,46,34
155,382,Brenner,BRA,"MF,FW",Udinese,Serie A,23,2000,2.1,23,37,0
156,383,Ben Brereton,CHI,"FW,MF",Sheffield Utd,Premier League,24,1999,12.3,58,43,70
157,384,Ben Brereton,CHI,"FW,MF",Villarreal,La Liga,24,1999,3,20,14,0
158,386,Maximilian Breunig,GER,FW,Freiburg,Bundesliga,22,2000,0.1,0,0,0
159,387,Rhian Brewster,ENG,"FW,MF",Sheffield Utd,Premier League,23,2000,3.8,27,21,0
160,388,Bennit Bröger,GER,FW,Wolfsburg,Bundesliga,17,2006,0.1,0,0,0
161,389,Armando Broja,ALB,FW,Chelsea,Premier League,21,2001,5,29,17,34
162,390,Armando Broja,ALB,FW,Fulham,Premier League,21,2001,1,9,11,0
163,393,David Brooks,WAL,"FW,MF",Bournemouth,Premier League,26,1997,3.1,46,96,34
164,395,Moritz Broschinski,GER,FW,Bochum,Bundesliga,22,2000,13.9,60,40,51
165,396,Jacob Brown,SCO,"MF,FW",Luton Town,Premier League,25,1998,11.3,40,14,34
166,399,Jacob Bruun Larsen,DEN,"MF,FW",Burnley,Premier League,24,1998,13.9,71,65,34
167,401,Ante Budimir,CRO,FW,Osasuna,La Liga,32,1991,27.1,68,16,61
168,404,Marius Bülter,GER,"DF,FW",Hoffenheim,Bundesliga,30,1993,15,73,63,51
169,405,Facundo Buonanotte,ARG,"FW,MF",Brighton,Premier League,18,2004,15.2,64,42,51
170,407,Jonathan Burkardt,GER,"FW,MF",Mainz 05,Bundesliga,23,2000,17.1,67,38,61
171,408,Oliver Burke,SCO,FW,Werder Bremen,Bundesliga,26,1997,0.4,0,0,0
172,411,Rareș-Cătălin Burnete,ROU,FW,Lecce,Serie A,19,2004,0.1,0,0,0
173,412,Mason Burstow,ENG,FW,Chelsea,Premier League,19,2003,0.1,0,0,0
174,414,Maxime Busi,BEL,"FW,DF",Reims,Ligue 1,23,1999,1.8,25,66,34
175,418,Jamie Bynoe-Gittens,ENG,"FW,MF",Dortmund,Bundesliga,18,2004,11.8,71,78,93
176,419,Rémy Cabella,FRA,"FW,MF",Lille,Ligue 1,33,1990,16.4,87,88,51
177,420,Jovane Cabral,CPV,"MF,FW",Salernitana,Serie A,25,1998,7.5,51,65,51
178,432,José Callejón,ESP,"MF,FW",Granada,La Liga,36,1987,8.9,60,73,34
179,433,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,26,1997,24.1,76,33,70
180,437,Francesco Camarda,ITA,FW,Milan,Serie A,15,2008,0.2,0,0,0
181,439,Nicolò Cambiaghi,ITA,"FW,MF",Empoli,Serie A,22,2000,28.4,92,63,70
182,440,Andrea Cambiaso,ITA,"DF,FW",Juventus,Serie A,23,2000,26.4,88,56,70
183,441,Axel Camblan,FRA,FW,Brest,Ligue 1,19,2003,1,14,26,0
184,442,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,22,2001,18.5,71,41,76
185,445,Matteo Cancellieri,ITA,"FW,MF",Empoli,Serie A,21,2002,19.9,76,49,93
186,448,Antonio Candreva,ITA,"MF,FW",Salernitana,Serie A,36,1987,30.6,97,78,83
187,449,Thomas Cannon,IRL,FW,Everton,Premier League,20,2002,0,0,0,0
188,450,Sergi Canós,ESP,"MF,FW",Valencia,La Liga,26,1997,13.7,58,37,76
189,451,Luigi Canotto,ITA,FW,Frosinone,Serie A,29,1994,0.2,0,0,0
190,454,Gianluca Caprari,ITA,"MF,FW",Monza,Serie A,30,1993,3.2,40,91,34
191,456,Francesco Caputo,ITA,FW,Empoli,Serie A,35,1987,14.1,52,22,0
192,459,Valentin Carboni,ARG,"MF,FW",Monza,Serie A,18,2005,13,68,62,34
193,463,Marc Cardona,ESP,FW,Las Palmas,La Liga,28,1995,8,40,24,61
194,471,Álvaro Carreras,ESP,"MF,FW",Granada,La Liga,20,2003,5.3,41,62,0
195,472,Rasmus Carstensen,DEN,"DF,FW",Köln,Bundesliga,22,2000,18.4,65,29,61
196,477,Cesare Casadei,ITA,"FW,MF",Chelsea,Premier League,20,2003,0.9,20,88,0
197,483,Josué Casimir,FRA,"FW,DF",Le Havre,Ligue 1,21,2001,22.4,75,36,70
198,484,Giuseppe Caso,ITA,"FW,MF",Frosinone,Serie A,24,1998,4.6,36,45,51
199,488,Valentín Castellanos,ARG,FW,Lazio,Serie A,24,1998,18.7,72,44,51
200,490,Samu Castillejo,ESP,"FW,MF",Sassuolo,Serie A,28,1995,6,52,87,34
201,492,Santiago Castro,ARG,FW,Bologna,Serie A,18,2004,2.7,0,0,0
202,493,Gaetano Castrovilli,ITA,"FW,MF",Fiorentina,Serie A,26,1997,4.1,34,40,0
203,497,Ivan Cavaleiro,POR,FW,Lille,Ligue 1,29,1993,8.6,43,29,34
204,498,Dani Ceballos,ESP,"MF,FW",Real Madrid,La Liga,26,1996,6.6,51,75,34
205,499,Emil Ceide,NOR,"FW,MF",Sassuolo,Serie A,21,2001,2,27,71,34
206,504,Václav Černý,CZE,"FW,MF",Wolfsburg,Bundesliga,25,1997,10.2,58,60,34
207,506,Alberto Cerri,ITA,FW,Empoli,Serie A,27,1996,6.1,29,14,0
208,511,Fares Chaïbi,ALG,"FW,MF",Toulouse,Ligue 1,20,2002,0.6,17,88,0
209,512,Fares Chaïbi,ALG,"MF,FW",Eint Frankfurt,Bundesliga,20,2002,21.2,89,76,0
210,514,Muhammed Cham,AUT,"MF,FW",Clermont Foot,Ligue 1,22,2000,28.4,97,82,61
211,521,Walid Cheddira,MAR,FW,Frosinone,Serie A,25,1998,23.6,64,17,34
212,522,Rayan Cherki,FRA,"MF,FW",Lyon,Ligue 1,19,2003,19.1,95,94,99
213,523,Youssef Chermiti,POR,FW,Everton,Premier League,19,2004,2.3,27,58,34
214,526,Federico Chiesa,ITA,FW,Juventus,Serie A,25,1997,24.4,96,89,97
215,528,Tawanda Chirewa,ZIM,"MF,FW",Wolves,Premier League,19,2003,1.6,17,22,0
216,530,Leon Chiwome,ENG,FW,Wolves,Premier League,17,2006,1.9,9,9,0
217,531,Tahith Chong,NED,"MF,FW",Luton Town,Premier League,23,1999,22,73,32,61
218,537,Carney Chukwuemeka,ENG,"MF,FW",Chelsea,Premier League,19,2003,2.5,32,70,34
219,538,Samuel Chukwueze,NGA,FW,Milan,Serie A,24,1999,11.3,72,83,91
220,541,Alphadjo Cissè,ITA,FW,Hellas Verona,Serie A,16,2006,0.1,0,0,0
221,543,Ibrahim Cissoko,NED,"FW,MF",Toulouse,Ligue 1,20,2003,2.7,40,94,76
222,553,Marcus Coco,FRA,"DF,FW",Nantes,Ligue 1,27,1996,16.5,56,21,34
223,559,Lorenzo Colombo,ITA,FW,Monza,Serie A,21,2002,15.1,53,22,70
224,560,Andrea Colpani,ITA,"MF,FW",Monza,Serie A,24,1999,29.5,97,81,89
225,562,Kingsley Coman,FRA,FW,Bayern Munich,Bundesliga,27,1996,12.4,81,91,83
226,565,Pietro Comuzzo,ITA,"DF,FW",Fiorentina,Serie A,18,2005,0.5,0,0,0
227,566,Alois Confais,FRA,"MF,FW",Le Havre,Ligue 1,26,1996,0.1,0,0,0
228,568,Bambasé Conté,GER,"MF,FW",Hoffenheim,Bundesliga,20,2003,0.5,9,22,0
229,575,Theo Corbeanu,CAN,"MF,FW",Granada,La Liga,21,2002,2,20,21,0
230,576,Jeppe Corfitzen,DEN,FW,Lecce,Serie A,18,2004,0.1,0,0,0
231,578,Maxwel Cornet,CIV,"MF,FW",West Ham,Premier League,26,1996,1.2,23,80,0
232,579,Giacomo Corona,ITA,FW,Empoli,Serie A,19,2004,0.1,0,0,0
233,581,Ángel Correa,ARG,"FW,MF",Atlético Madrid,La Liga,28,1995,17,83,79,95
234,582,Joaquín Correa,ARG,"FW,MF",Marseille,Ligue 1,28,1994,4.8,36,42,51
235,584,Oscar Cortés,COL,"FW,MF",Lens,Ligue 1,19,2003,0.5,9,27,0
236,588,João Costa,BRA,"MF,FW",Roma,Serie A,18,2005,0.2,14,99,0
237,597,Tanguy Coulibaly,FRA,"FW,MF",Montpellier,Ligue 1,22,2001,6.9,46,54,61
238,599,Philippe Coutinho,BRA,"MF,FW",Aston Villa,Premier League,31,1992,0.3,14,97,34
239,600,Yan Couto,BRA,"DF,FW",Girona,La Liga,21,2002,24.9,77,33,76
240,605,Aaron Cresswell,ENG,"DF,FW",West Ham,Premier League,33,1989,4.8,36,41,0
241,609,Juan Cruz,ARG,"FW,MF",Hellas Verona,Serie A,24,1999,1.2,17,41,0
242,610,Juan Cruz,ESP,FW,Betis,La Liga,23,2000,0.8,23,95,51
243,617,Matheus Cunha,BRA,"FW,MF",Wolves,Premier League,24,1999,27.1,88,53,95
244,618,Marvin Cuni,ALB,FW,Frosinone,Serie A,22,2001,5.9,41,53,34
245,621,Tomáš Čvančara,CZE,FW,Gladbach,Bundesliga,22,2000,10,46,26,51
246,624,Trévis Dago,CIV,"FW,MF",Lille,Ligue 1,18,2005,0.3,14,98,34
247,629,Thijs Dallinga,NED,FW,Toulouse,Ligue 1,22,2000,27.9,73,20,70
248,635,Arnaut Danjuma,NED,"MF,FW",Everton,Premier League,26,1997,6.6,43,49,34
249,636,Jayden Danns,ENG,FW,Liverpool,Premier League,17,2006,0.1,0,0,0
250,640,Mohammed Daramy,DEN,"FW,MF",Reims,Ligue 1,21,2002,18.3,79,62,91
251,642,Achraf Dari,MAR,"DF,FW",Brest,Ligue 1,24,1999,1.3,9,10,0
252,644,Lukas Daschner,GER,"MF,FW",Bochum,Bundesliga,24,1998,6,46,66,34
253,645,Josh Dasilva,ENG,"DF,FW",Brentford,Premier League,24,1998,0.3,9,74,0
254,646,David Datro Fofana,CIV,FW,Burnley,Premier League,20,2002,9.8,43,21,70
255,647,David Datro Fofana,CIV,"FW,MF",Union Berlin,Bundesliga,20,2002,7.6,53,73,83
256,649,Jonathan David,CAN,FW,Lille,Ligue 1,23,2000,29.2,87,46,61
257,653,Keinan Davis,ENG,"FW,MF",Udinese,Serie A,25,1998,2.1,35,93,0
258,657,Charles De Ketelaere,BEL,"FW,MF",Atalanta,Serie A,22,2001,22.5,92,81,89
259,663,Grégoire Defrel,MTQ,"FW,MF",Sassuolo,Serie A,32,1991,8.4,44,34,0
260,665,Romain Del Castillo,FRA,FW,Brest,Ligue 1,27,1996,27.7,100,95,91
261,667,Sacha Delaye,FRA,"MF,FW",Montpellier,Ligue 1,21,2002,1.4,25,82,34
262,671,Karamoko Dembele,SCO,"MF,FW",Brest,Ligue 1,20,2003,0.2,9,92,0
263,672,Ousmane Dembélé,FRA,"MF,FW",Paris S-G,Ligue 1,26,1997,16.7,96,97,95
264,673,Jessy Deminguet,FRA,"MF,FW",Strasbourg,Ligue 1,25,1998,7.7,29,11,0
265,674,Ermedin Demirović,BIH,"FW,MF",Augsburg,Bundesliga,25,1998,31.9,85,34,91
266,682,Mattia Destro,ITA,"FW,MF",Empoli,Serie A,32,1991,4.1,20,11,0
267,684,Federico Di Francesco,ITA,"FW,MF",Lecce,Serie A,29,1994,0.2,9,95,0
268,689,Boulaye Dia,SEN,"FW,MF",Salernitana,Serie A,26,1996,12.7,52,27,34
269,690,Moussa Diaby,FRA,"FW,MF",Aston Villa,Premier League,24,1999,24.2,89,65,83
270,693,Mamadou Diakhon,FRA,"FW,MF",Reims,Ligue 1,17,2005,2.3,20,19,34
271,697,Oumar Diakité,CIV,FW,Reims,Ligue 1,19,2003,17.6,67,36,91
272,698,Amad Diallo,CIV,"FW,MF",Manchester Utd,Premier League,21,2002,4.3,46,88,61
273,700,Assane Diao,ESP,FW,Betis,La Liga,17,2005,11.6,49,25,0
274,701,Habib Diarra,SEN,"MF,FW",Strasbourg,Ligue 1,19,2004,25.6,74,25,76
275,704,Krépin Diatta,SEN,"DF,FW",Monaco,Ligue 1,24,1999,13.4,67,59,51
276,707,Brahim Díaz,MAR,"FW,MF",Real Madrid,La Liga,23,1999,17.2,86,85,96
277,708,Luis Díaz,COL,FW,Liverpool,Premier League,26,1997,29.2,99,94,98
278,710,Famara Diedhiou,SEN,"FW,MF",Granada,La Liga,30,1992,1,27,97,34
279,711,Justin Diehl,GER,"FW,MF",Köln,Bundesliga,18,2004,1.9,35,95,51
280,712,Bamba Dieng,SEN,FW,Lorient,Ligue 1,23,2000,6.1,44,60,34
281,716,Florian Dietz,GER,"FW,MF",Köln,Bundesliga,24,1998,0.8,20,92,0
