Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Minutes,90s,Goals,Assists,G+A,G-PK,PK,PK_Att,Y_Card,R_Card,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgPR,Gls_p90,Ast_p90,G+A_p90,G-PK_p90,G+A-PK_p90,xG_p90,xAG_p90,xG+xAG_p90,npxG_p90,npxG+xAG_p90
25,25,Karim Adeyemi,GER,"FW,MF",Dortmund,Bundesliga,21,2002,21,10,913,10.1,3,1,4,3,0,0,6,1,3.5,3.5,2,5.5,52,26,96,0.3,0.1,0.39,0.3,0.39,0.34,0.2,0.54,0.34,0.54
26,26,Simon Adingra,CIV,FW,Brighton,Premier League,21,2002,31,25,2222,24.7,6,1,7,6,0,0,3,0,4.3,4.3,3.7,8,111,50,278,0.24,0.04,0.28,0.24,0.28,0.17,0.15,0.32,0.17,0.32
27,27,Nathaniel Adjei,GHA,DF,Lorient,Ligue 1,20,2002,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.4,0.4,0.1,0.5,10,34,4,0,0,0,0,0,0.03,0.01,0.03,0.03,0.03
28,28,Amine Adli,MAR,"MF,FW",Leverkusen,Bundesliga,23,2000,23,8,898,10,4,6,10,4,0,0,5,0,3.3,3.3,2.3,5.6,32,39,131,0.4,0.6,1,0.4,1,0.33,0.23,0.56,0.33,0.56
29,29,Yacine Adli,FRA,MF,Milan,Serie A,23,2000,24,17,1407,15.6,1,2,3,1,0,0,3,0,0.3,0.3,2.2,2.5,30,125,26,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16
30,30,Adryelson,BRA,"DF,FW",Lyon,Ligue 1,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,Adson,BRA,"MF,FW",Nantes,Ligue 1,22,2000,8,2,238,2.6,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,18,15,19,0,0,0,0,0,0.09,0.04,0.13,0.09,0.13
32,32,Michel Aebischer,SUI,MF,Bologna,Serie A,26,1997,36,26,2230,24.8,0,1,1,0,0,0,8,0,1.1,1.1,1.5,2.6,26,125,55,0,0.04,0.04,0,0.04,0.04,0.06,0.11,0.04,0.11
33,33,Emmanuel Agbadou,CIV,DF,Reims,Ligue 1,26,1997,32,29,2596,28.8,1,1,2,1,0,0,1,0,2.4,2.4,1.5,3.8,42,179,19,0.03,0.03,0.07,0.03,0.07,0.08,0.05,0.13,0.08,0.13
34,34,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,22,2000,4,2,238,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,Lucien Agoume,FRA,MF,Inter,Serie A,21,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,Lucien Agoume,FRA,MF,Sevilla,La Liga,21,2002,12,9,777,8.6,0,0,0,0,0,0,3,0,0.9,0.9,0.6,1.5,7,35,9,0,0,0,0,0,0.1,0.07,0.17,0.1,0.17
37,37,Felix Agu,GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,24,19,1614,17.9,0,0,0,0,0,0,2,0,0.9,0.9,0.6,1.5,32,32,90,0,0,0,0,0,0.05,0.04,0.08,0.05,0.08
38,38,Nayef Aguerd,MAR,DF,West Ham,Premier League,27,1996,21,21,1857,20.6,1,0,1,1,0,0,3,1,1.5,1.5,0.3,1.8,10,68,3,0.05,0,0.05,0.05,0.05,0.07,0.01,0.09,0.07,0.09
39,39,Ruben Aguilar,FRA,DF,Lens,Ligue 1,30,1993,25,22,1922,21.4,1,3,4,1,0,0,3,0,1.4,1.4,2.9,4.3,36,110,162,0.05,0.14,0.19,0.05,0.19,0.07,0.14,0.2,0.07,0.2
40,40,Brandon Aguilera,CRC,FW,Nott'ham Forest,Premier League,20,2003,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
41,41,Naouirou Ahamada,FRA,"MF,FW",Crystal Palace,Premier League,21,2002,20,0,349,3.9,0,0,0,0,0,0,4,1,0.5,0.5,0,0.5,19,25,20,0,0,0,0,0,0.13,0.01,0.13,0.13,0.13
42,42,Anel Ahmedhodžić,BIH,DF,Sheffield Utd,Premier League,24,1999,31,29,2649,29.4,2,0,2,2,0,0,11,1,3.1,3.1,0.8,4,15,43,21,0.07,0,0.07,0.07,0.07,0.11,0.03,0.14,0.11,0.14
43,43,Joseph Aidoo,GHA,DF,Celta Vigo,La Liga,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,2,12,0,0,0,0,0,0,0.02,0.01,0.04,0.02,0.04
44,44,Ola Aina,NGA,DF,Nott'ham Forest,Premier League,26,1996,22,20,1692,18.8,1,1,2,1,0,0,3,0,0.3,0.3,0.9,1.2,53,68,38,0.05,0.05,0.11,0.05,0.11,0.01,0.05,0.06,0.01,0.06
45,45,Rayan Aït-Nouri,ALG,"DF,MF",Wolves,Premier League,22,2001,33,29,2329,25.9,2,1,3,2,0,0,7,0,3.3,3.3,2.4,5.6,67,99,99,0.08,0.04,0.12,0.08,0.12,0.13,0.09,0.22,0.13,0.22
46,46,Tosin Aiyegun,BEN,"MF,FW",Lorient,Ligue 1,25,1998,19,10,902,10,2,0,2,2,0,0,0,1,1.8,1.8,0.3,2.1,17,16,52,0.2,0,0.2,0.2,0.2,0.18,0.03,0.21,0.18,0.21
47,47,Kristoffer Ajer,NOR,DF,Brentford,Premier League,25,1998,28,21,1832,20.4,2,1,3,2,0,0,5,0,1.3,1.3,2.3,3.6,22,61,31,0.1,0.05,0.15,0.1,0.15,0.06,0.11,0.18,0.06,0.18
48,48,Ludovic Ajorque,FRA,FW,Mainz 05,Bundesliga,29,1994,26,15,1360,15.1,2,0,2,2,0,2,4,0,5.3,3.7,1,4.7,5,21,88,0.13,0,0.13,0.13,0.13,0.35,0.06,0.41,0.25,0.31
49,49,Manuel Akanji,SUI,"DF,MF",Manchester City,Premier League,28,1995,30,28,2511,27.9,2,0,2,2,0,0,4,1,1.9,1.9,0.5,2.4,46,148,36,0.07,0,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09
50,50,Marley Aké,FRA,FW,Udinese,Serie A,22,2001,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,Nathan Aké,NED,DF,Manchester City,Premier League,28,1995,29,24,2042,22.7,2,2,4,2,0,0,0,0,2.5,2.5,1.2,3.7,24,116,18,0.09,0.09,0.18,0.09,0.18,0.11,0.05,0.16,0.11,0.16
52,52,Ilias Akhomach,MAR,"MF,FW",Villarreal,La Liga,19,2004,31,17,1511,16.8,2,2,4,2,0,0,4,0,3.2,3.2,2.6,5.7,68,45,160,0.12,0.12,0.24,0.12,0.24,0.19,0.15,0.34,0.19,0.34
53,53,Sergio Akieme,ESP,DF,Almería,La Liga,25,1997,19,19,1675,18.6,2,0,2,2,0,0,2,0,1.2,1.2,2.2,3.3,27,28,72,0.11,0,0.11,0.11,0.11,0.06,0.12,0.18,0.06,0.18
54,54,Sergio Akieme,ESP,DF,Reims,Ligue 1,25,1997,13,8,818,9.1,2,0,2,2,0,0,2,0,1.4,1.4,0.4,1.8,20,20,34,0.22,0,0.22,0.22,0.22,0.16,0.04,0.2,0.16,0.2
55,55,Ebenezer Akinsanmiro,NGA,MF,Inter,Serie A,18,2004,1,0,15,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.23,0.23,0,0.23
56,56,Maghnes Akliouche,FRA,"MF,FW",Monaco,Ligue 1,21,2002,28,18,1613,17.9,7,4,11,7,0,0,5,0,5.4,5.4,3.5,8.9,46,93,135,0.39,0.22,0.61,0.39,0.61,0.3,0.19,0.49,0.3,0.49
57,57,Paul Akouokou,CIV,MF,Betis,La Liga,25,1997,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
58,58,Paul Akouokou,CIV,MF,Lyon,Ligue 1,25,1997,8,4,307,3.4,0,0,0,0,0,0,1,0,0.1,0.1,0,0.1,0,13,2,0,0,0,0,0,0.02,0,0.02,0.02,0.02
59,59,Jean-Daniel Akpa-Akpro,CIV,MF,Monza,Serie A,30,1992,19,8,705,7.8,0,0,0,0,0,0,5,0,0.5,0.5,0.1,0.6,11,10,12,0,0,0,0,0,0.07,0.01,0.08,0.07,0.08
60,60,David Akpan Ankeye,NGA,FW,Genoa,Serie A,21,2002,6,0,57,0.6,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0
61,61,Kevin Akpoguma,NGA,DF,Hoffenheim,Bundesliga,28,1995,17,11,1097,12.2,0,0,0,0,0,0,7,0,0.3,0.3,0.3,0.6,10,55,9,0,0,0,0,0,0.02,0.02,0.05,0.02,0.05
62,62,David Alaba,AUT,DF,Real Madrid,La Liga,31,1992,14,14,1154,12.8,0,1,1,0,0,0,2,0,1,1,0.7,1.6,9,51,13,0,0.08,0.08,0,0.08,0.08,0.05,0.13,0.08,0.13
63,63,Luis Alberto,ESP,MF,Lazio,Serie A,30,1992,33,29,2311,25.7,5,7,12,5,0,0,7,0,4.7,4.7,4.7,9.4,83,212,124,0.19,0.27,0.47,0.19,0.47,0.18,0.18,0.37,0.18,0.37
64,64,Raúl Albiol,ESP,DF,Villarreal,La Liga,37,1985,26,24,2031,22.6,0,1,1,0,0,0,6,0,0.4,0.4,0.8,1.3,8,62,0,0,0.04,0.04,0,0.04,0.02,0.04,0.06,0.02,0.06
65,65,Thiago Alcántara,ESP,MF,Liverpool,Premier League,32,1991,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,Carlos Alcaraz,ARG,MF,Juventus,Serie A,20,2002,10,3,380,4.2,0,1,1,0,0,0,0,0,0.4,0.4,0.1,0.5,6,27,9,0,0.24,0.24,0,0.24,0.09,0.03,0.12,0.09,0.12
67,67,Rubén Alcaraz,ESP,MF,Cádiz,La Liga,32,1991,36,36,3134,34.8,3,1,4,1,2,2,14,0,3.3,1.7,1.4,3.1,27,154,37,0.09,0.03,0.11,0.03,0.06,0.09,0.04,0.13,0.05,0.09
68,68,Omar Alderete,PAR,DF,Getafe,La Liga,26,1996,31,24,2195,24.4,0,1,1,0,0,0,8,1,1.2,1.2,1,2.2,23,98,9,0,0.04,0.04,0,0.04,0.05,0.04,0.09,0.05,0.09
69,69,Iván Alejo,ESP,MF,Cádiz,La Liga,28,1995,30,21,1692,18.8,0,2,2,0,0,0,17,0,0.5,0.5,1.3,1.8,48,31,104,0,0.11,0.11,0,0.11,0.03,0.07,0.1,0.03,0.1
70,70,Carles Aleñá,ESP,MF,Getafe,La Liga,25,1998,29,10,1020,11.3,1,1,2,1,0,0,6,0,1.2,1.2,1.6,2.8,12,23,45,0.09,0.09,0.18,0.09,0.18,0.11,0.14,0.25,0.11,0.25
71,71,Trent Alexander-Arnold,ENG,DF,Liverpool,Premier League,24,1998,28,25,2155,23.9,3,4,7,3,0,0,6,0,2.6,2.3,7.2,9.5,45,205,97,0.13,0.17,0.29,0.13,0.29,0.11,0.3,0.41,0.1,0.4
72,72,Aboubacar Ali,FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,9,1,130,1.4,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,3,3,12,0,0.69,0.69,0,0.69,0.17,0.05,0.22,0.17,0.22
73,73,Mohamed Ali Cho,FRA,"FW,MF",Real Sociedad,La Liga,19,2004,11,1,249,2.8,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,16,3,19,0,0,0,0,0,0.14,0.04,0.18,0.14,0.18
74,74,Mohamed Ali Cho,FRA,FW,Nice,Ligue 1,19,2004,17,11,861,9.6,1,2,3,1,0,0,2,0,1.1,1.1,2,3.1,48,25,77,0.1,0.21,0.31,0.1,0.31,0.12,0.21,0.32,0.12,0.32
75,75,Faride Alidou,GER,"FW,MF",Köln,Bundesliga,22,2001,26,14,1282,14.2,4,0,4,4,0,0,4,0,3,3,0.6,3.6,51,33,95,0.28,0,0.28,0.28,0.28,0.21,0.04,0.26,0.21,0.26
76,76,Nabil Alioui,FRA,"MF,FW",Le Havre,Ligue 1,24,1999,18,12,1009,11.2,4,1,5,4,0,0,1,0,2.4,2.4,2.2,4.6,22,43,72,0.36,0.09,0.45,0.36,0.45,0.21,0.19,0.41,0.21,0.41
77,77,Alisson,BRA,GK,Liverpool,Premier League,30,1992,28,28,2520,28,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
78,78,Tadeo Allende,ARG,"MF,FW",Celta Vigo,La Liga,24,1999,10,2,336,3.7,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,9,7,25,0.27,0,0.27,0.27,0.27,0.33,0.1,0.43,0.33,0.43
79,79,Jim Allevinah,GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,29,22,1861,20.7,2,1,3,2,0,0,1,0,2.6,2.6,1.2,3.8,87,52,120,0.1,0.05,0.15,0.1,0.15,0.12,0.06,0.18,0.12,0.18
80,80,Domingos André Ribeiro Almeida,POR,"FW,MF",Valencia,La Liga,23,2000,18,12,965,10.7,2,1,3,2,0,0,0,0,0.6,0.6,1.2,1.8,24,50,33,0.19,0.09,0.28,0.19,0.28,0.05,0.11,0.17,0.05,0.17
81,81,Miguel Almirón,PAR,FW,Newcastle Utd,Premier League,29,1994,33,23,1937,21.5,3,1,4,3,0,0,2,0,4.5,4.5,2.6,7.2,78,78,162,0.14,0.05,0.19,0.14,0.19,0.21,0.12,0.33,0.21,0.33
82,82,Pontus Almqvist,SWE,"FW,MF",Lecce,Serie A,24,1999,30,25,2107,23.4,2,1,3,2,0,0,5,0,2.3,2.3,2.7,5,72,32,137,0.09,0.04,0.13,0.09,0.13,0.1,0.12,0.22,0.1,0.22
83,83,Marcos Alonso,ESP,DF,Barcelona,La Liga,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,11,14,33,0,0,0,0,0,0.03,0.18,0.21,0.03,0.21
84,84,Adrià Altimira,ESP,"DF,MF",Villarreal,La Liga,22,2001,11,10,775,8.6,0,0,0,0,0,0,3,0,0,0,0.1,0.1,10,29,15,0,0,0,0,0,0,0.01,0.02,0,0.02
85,85,Sergi Altimira,ESP,MF,Betis,La Liga,21,2001,14,6,568,6.3,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,10,31,8,0.16,0,0.16,0.16,0.16,0.03,0.04,0.07,0.03,0.07
86,86,Edson Álvarez,MEX,MF,West Ham,Premier League,25,1997,31,28,2377,26.4,1,1,2,1,0,0,11,0,1.3,1.3,0.6,1.9,20,91,26,0.04,0.04,0.08,0.04,0.08,0.05,0.02,0.07,0.05,0.07
87,87,Gastón Álvarez,URU,DF,Getafe,La Liga,23,2000,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.7,0.7,0.6,1.4,11,63,40,0.07,0,0.07,0.07,0.07,0.03,0.02,0.05,0.03,0.05
88,88,Hugo Álvarez,ESP,"MF,DF",Celta Vigo,La Liga,20,2003,12,8,762,8.5,1,1,2,1,0,0,1,0,1,1,1.5,2.6,36,34,80,0.12,0.12,0.24,0.12,0.24,0.12,0.18,0.3,0.12,0.3
89,89,Julián Álvarez,ARG,"MF,FW",Manchester City,Premier League,23,2000,36,31,2647,29.4,11,8,19,9,2,2,2,0,13,11.5,6.4,17.9,64,103,180,0.37,0.27,0.65,0.31,0.58,0.44,0.22,0.66,0.39,0.61
90,90,Yeray Álvarez,ESP,DF,Athletic Club,La Liga,28,1995,19,14,1152,12.8,0,0,0,0,0,0,1,1,0.3,0.3,0.1,0.4,13,55,2,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03
91,91,Skelly Alvero,FRA,MF,Lyon,Ligue 1,21,2002,8,6,426,4.7,1,0,1,1,0,0,2,0,0.4,0.4,0,0.4,3,27,13,0.21,0,0.21,0.21,0.21,0.09,0,0.09,0.09,0.09
92,92,Skelly Alvero,FRA,MF,Werder Bremen,Bundesliga,21,2002,6,1,123,1.4,1,0,1,1,0,0,1,0,0.3,0.3,0,0.4,1,9,6,0.73,0,0.73,0.73,0.73,0.24,0.03,0.27,0.24,0.27
93,93,Papa Amadou Diallo,SEN,FW,Metz,Ligue 1,19,2004,16,9,889,9.9,2,1,3,2,0,0,1,0,2.6,2.6,0.9,3.5,25,30,65,0.2,0.1,0.3,0.2,0.3,0.26,0.09,0.35,0.26,0.35
94,94,Selim Amallah,MAR,"FW,MF",Valencia,La Liga,26,1996,20,7,604,6.7,0,1,1,0,0,0,5,1,0.4,0.4,0.3,0.8,7,21,36,0,0.15,0.15,0,0.15,0.06,0.05,0.11,0.06,0.11
95,95,Amath,SEN,"FW,MF",Mallorca,La Liga,27,1996,15,3,394,4.4,0,0,0,0,0,0,2,0,1.6,1.6,0.4,1.9,19,13,30,0,0,0,0,0,0.35,0.09,0.44,0.35,0.44
96,96,Lorenzo Amatucci,ITA,MF,Fiorentina,Serie A,19,2004,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0.04,0,0.04,0.04,0.04
97,97,Jordan Amavi,FRA,DF,Brest,Ligue 1,29,1994,2,1,91,1,1,0,1,1,0,0,1,0,0.1,0.1,0,0.1,0,2,1,0.99,0,0.99,0.99,0.99,0.1,0,0.1,0.1,0.1
98,98,Zeki Amdouni,SUI,FW,Burnley,Premier League,22,2000,34,27,1953,21.7,5,1,6,4,1,1,2,0,5.8,5,1.4,6.5,63,49,93,0.23,0.05,0.28,0.18,0.23,0.27,0.07,0.33,0.23,0.3
99,99,Kelvin Amian,FRA,DF,Nantes,Ligue 1,25,1998,12,11,798,8.9,0,1,1,0,0,0,2,0,0.1,0.1,0.6,0.6,12,28,21,0,0.11,0.11,0,0.11,0.01,0.07,0.07,0.01,0.07
100,100,Bruno Amione,ARG,DF,Hellas Verona,Serie A,21,2002,10,7,579,6.4,0,0,0,0,0,0,2,0,0.3,0.3,0,0.3,2,17,2,0,0,0,0,0,0.05,0.01,0.05,0.05,0.05
101,101,Michael Amir Murillo,PAN,DF,Marseille,Ligue 1,27,1996,16,10,997,11.1,3,2,5,3,0,0,3,0,0.8,0.8,1.2,2,6,35,52,0.27,0.18,0.45,0.27,0.45,0.07,0.11,0.18,0.07,0.18
102,102,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26,1996,15,15,1315,14.6,1,4,5,1,0,1,5,0,2.2,1.4,4.3,5.7,16,88,22,0.07,0.27,0.34,0.07,0.34,0.15,0.3,0.45,0.1,0.39
103,103,Nadiem Amiri,GER,MF,Leverkusen,Bundesliga,26,1996,8,1,86,1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,5,6,6,0,0,0,0,0,0.13,0.03,0.16,0.13,0.16
104,104,Kofi Amoako,GER,MF,Wolfsburg,Bundesliga,18,2005,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,Sofyan Amrabat,MAR,"MF,DF",Manchester Utd,Premier League,26,1996,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6,66,10,0,0,0,0,0,0.01,0.03,0.04,0.01,0.04
106,106,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27,1996,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21,147,10,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12
107,107,Elliot Anderson,SCO,"MF,FW",Newcastle Utd,Premier League,20,2002,21,10,1027,11.4,0,2,2,0,0,0,3,0,1.5,1.5,1.9,3.5,37,57,70,0,0.18,0.18,0,0.18,0.13,0.17,0.3,0.13,0.3
108,108,Felipe Anderson,BRA,"FW,MF",Lazio,Serie A,30,1993,38,33,2770,30.8,5,6,11,5,0,0,3,0,4.4,4.4,6.3,10.7,108,126,226,0.16,0.19,0.36,0.16,0.36,0.14,0.21,0.35,0.14,0.35
109,109,Benjamin André,FRA,MF,Lille,Ligue 1,32,1990,30,29,2570,28.6,4,0,4,4,0,0,8,0,2.6,2.6,1.3,3.9,19,180,37,0.14,0,0.14,0.14,0.14,0.09,0.05,0.14,0.09,0.14
110,110,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28,1995,7,1,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,5,24,0,0,0,0,0,0.03,0.1,0.12,0.03,0.12
111,111,Robert Andrich,GER,"MF,DF",Leverkusen,Bundesliga,28,1994,28,18,1690,18.8,4,2,6,4,0,0,4,0,1.7,1.7,1.8,3.5,20,97,14,0.21,0.11,0.32,0.21,0.32,0.09,0.1,0.19,0.09,0.19
112,112,Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25,1998,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.8,0.8,0.1,0.9,7,27,1,0.06,0,0.06,0.06,0.06,0.05,0,0.05,0.05,0.05
113,113,Angeliño,ESP,DF,Roma,Serie A,26,1997,16,14,1141,12.7,0,1,1,0,0,0,2,0,0.2,0.2,1.6,1.7,12,40,55,0,0.08,0.08,0,0.08,0.01,0.12,0.14,0.01,0.14
114,114,Fabrizio Angileri,ARG,"DF,MF",Getafe,La Liga,29,1994,11,2,164,1.8,0,0,0,0,0,0,2,1,0,0,1.3,1.3,2,7,6,0,0,0,0,0,0,0.73,0.73,0,0.73
