Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,SCA,SCA90,SCA_Types_PassLive,SCA_Types_PassDead,SCA _TakeOn,SCA_Sh,SCA _FoulsDrawn,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TakeOn,GCA_Shot,GCA_FoulsDrawn,GCA_DefAct
29,29,Yacine Adli (Milan),FRA,MF,Milan,Serie A,23,2000,15.6,87,89,84,96,79,0,0,0,88,90,79,98,87,0,0,0
30,30,Adryelson (Lyon),BRA,"DF,FW",Lyon,Ligue 1,25,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,31,Adson (Nantes),BRA,"MF,FW",Nantes,Ligue 1,22,2000,2.6,35,82,38,0,53,0,0,0,0,0,0,0,0,0,0,0
32,32,Michel Aebischer (Bologna),SUI,MF,Bologna,Serie A,26,1997,24.8,73,41,76,74,70,61,71,0,35,37,40,0,0,0,0,0
33,33,Emmanuel Agbadou (Reims),CIV,DF,Reims,Ligue 1,26,1997,28.8,78,42,85,0,0,81,0,0,35,35,40,0,0,0,0,0
34,34,Julen Agirrezabala (Athletic Club),ESP,GK,Athletic Club,La Liga,22,2000,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,35,Lucien Agoume (Inter),FRA,MF,Inter,Serie A,21,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,36,Lucien Agoume (Sevilla),FRA,MF,Sevilla,La Liga,21,2002,8.6,54,62,59,0,70,0,0,0,35,49,40,0,0,0,0,0
37,37,Felix Agu (Werder Bremen),GER,"DF,MF",Werder Bremen,Bundesliga,23,1999,17.9,58,35,54,59,0,0,97,0,61,57,0,0,0,0,99,0
38,38,Nayef Aguerd (West Ham),MAR,DF,West Ham,Premier League,27,1996,20.6,44,22,47,59,0,43,0,0,0,0,0,0,0,0,0,0
39,39,Ruben Aguilar (Lens),FRA,DF,Lens,Ligue 1,30,1993,21.4,78,56,85,59,53,61,0,0,77,65,85,0,0,0,0,0
40,40,Brandon Aguilera (Nott'ham Forest),CRC,FW,Nott'ham Forest,Premier League,20,2003,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,41,Naouirou Ahamada (Crystal Palace),FRA,"MF,FW",Crystal Palace,Premier League,21,2002,3.9,35,59,41,0,0,0,0,0,61,96,70,0,0,0,0,0
42,42,Anel Ahmedhodžić (Sheffield Utd),BIH,DF,Sheffield Utd,Premier League,24,1999,29.4,60,26,65,0,0,73,0,0,35,35,0,0,0,-80,0,0
43,43,Joseph Aidoo (Celta Vigo),GHA,DF,Celta Vigo,La Liga,27,1995,4.5,28,35,27,0,53,43,0,0,35,64,0,0,0,-80,0,0
44,44,Ola Aina (Nott'ham Forest),NGA,DF,Nott'ham Forest,Premier League,26,1996,18.8,72,52,67,86,79,43,81,69,35,38,40,0,0,0,0,0
45,45,Rayan Aït-Nouri (Wolves),ALG,"DF,MF",Wolves,Premier League,22,2001,25.9,88,65,84,92,92,73,94,0,77,60,59,0,0,0,99,0
46,46,Tosin Aiyegun (Lorient),BEN,"MF,FW",Lorient,Ligue 1,25,1998,10,42,34,47,0,0,0,53,0,35,45,0,0,0,0,85,0
47,47,Kristoffer Ajer (Brentford),NOR,DF,Brentford,Premier League,25,1998,20.4,61,35,66,0,53,61,0,0,61,53,70,0,0,0,0,0
48,48,Ludovic Ajorque (Mainz 05),FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,71,63,73,59,0,43,91,69,0,0,0,0,0,0,0,0
49,49,Manuel Akanji (Manchester City),SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,83,50,86,59,0,73,71,98,71,52,79,0,0,0,0,0
50,50,Marley Aké (Udinese),FRA,FW,Udinese,Serie A,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,51,Nathan Aké (Manchester City),NED,DF,Manchester City,Premier League,28,1995,22.7,70,41,72,0,70,81,53,69,82,70,70,0,87,-95,0,0
52,52,Ilias Akhomach (Villarreal),MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,84,82,78,74,99,61,91,69,61,58,59,0,87,0,0,0
53,53,Sergio Akieme (Almería),ESP,DF,Almería,La Liga,25,1997,18.6,66,44,63,81,85,43,71,0,35,38,0,0,0,-80,0,0
54,54,Sergio Akieme (Reims),ESP,DF,Reims,Ligue 1,25,1997,9.1,51,54,47,59,79,61,0,69,35,46,0,0,0,-80,0,0
55,55,Ebenezer Akinsanmiro (Inter),NGA,MF,Inter,Serie A,18,2004,0.2,11,97,12,0,0,0,0,0,0,0,0,0,0,0,0,0
56,56,Maghnes Akliouche (Monaco),FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,94,94,93,93,92,73,87,99,90,89,91,0,0,0,0,100
57,57,Paul Akouokou (Betis),CIV,MF,Betis,La Liga,25,1997,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,58,Paul Akouokou (Lyon),CIV,MF,Lyon,Ligue 1,25,1997,3.4,28,45,27,0,53,0,0,69,0,0,0,0,0,0,0,0
59,59,Jean-Daniel Akpa-Akpro (Monza),CIV,MF,Monza,Serie A,30,1992,7.8,26,21,30,0,0,0,0,0,0,0,0,0,0,0,0,0
60,60,David Akpan Ankeye (Genoa),NGA,FW,Genoa,Serie A,21,2002,0.6,11,40,12,0,0,0,0,0,0,0,0,0,0,0,0,0
61,61,Kevin Akpoguma (Hoffenheim),NGA,DF,Hoffenheim,Bundesliga,28,1995,12.2,47,34,49,0,70,0,53,0,61,68,70,0,0,0,0,0
62,62,David Alaba (Real Madrid),AUT,DF,Real Madrid,La Liga,31,1992,12.8,49,36,49,84,0,43,0,0,35,42,0,90,0,0,0,0
63,63,Luis Alberto (Lazio),ESP,MF,Lazio,Serie A,30,1992,25.7,98,93,98,98,0,94,0,69,90,79,93,90,0,0,0,0
64,64,Raúl Albiol (Villarreal),ESP,DF,Villarreal,La Liga,37,1985,22.6,23,13,19,0,0,61,0,0,35,37,40,0,0,0,0,0
65,65,Thiago Alcántara (Liverpool),ESP,MF,Liverpool,Premier League,32,1991,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66,66,Carlos Alcaraz (Juventus),ARG,MF,Juventus,Serie A,20,2002,4.2,28,37,33,0,0,0,0,0,35,67,40,0,0,0,0,0
67,67,Rubén Alcaraz (Cádiz),ESP,MF,Cádiz,La Liga,32,1991,34.8,91,55,90,93,53,94,71,96,77,52,70,0,0,-95,0,0
68,68,Omar Alderete (Getafe),PAR,DF,Getafe,La Liga,26,1996,24.4,65,34,66,0,85,61,53,0,61,49,70,0,0,0,0,0
69,69,Iván Alejo (Cádiz),ESP,MF,Cádiz,La Liga,28,1995,18.8,71,50,67,81,53,0,98,0,77,71,70,0,0,0,97,0
70,70,Carles Aleñá (Getafe),ESP,MF,Getafe,La Liga,25,1998,11.3,70,78,62,94,0,43,53,69,51,58,40,90,0,0,0,0
71,71,Trent Alexander-Arnold (Liverpool),ENG,DF,Liverpool,Premier League,24,1998,23.9,98,95,98,99,89,91,0,88,85,73,79,98,0,0,0,0
72,72,Aboubacar Ali (Strasbourg),FRA,"MF,FW",Strasbourg,Ligue 1,17,2006,1.4,11,22,12,0,0,0,0,0,35,95,40,0,0,0,0,0
73,73,Mohamed Ali Cho (Real Sociedad),FRA,"FW,MF",Real Sociedad,La Liga,19,2004,2.8,20,31,12,0,53,0,53,0,35,80,0,0,0,0,85,0
74,74,Mohamed Ali Cho (Nice),FRA,FW,Nice,Ligue 1,19,2004,9.6,68,84,60,84,89,0,91,0,71,85,70,0,0,0,85,0
75,75,Faride Alidou (Köln),GER,"FW,MF",Köln,Bundesliga,22,2001,14.2,68,61,65,0,89,43,91,0,61,62,40,0,87,0,85,0
76,76,Nabil Alioui (Le Havre),FRA,"MF,FW",Le Havre,Ligue 1,24,1999,11.2,73,84,66,93,79,61,0,0,51,58,40,90,0,0,0,0
77,77,Alisson (Liverpool),BRA,GK,Liverpool,Premier League,30,1992,28,39,16,43,59,0,0,0,0,0,0,0,0,0,0,0,0
78,78,Tadeo Allende (Celta Vigo),ARG,"MF,FW",Celta Vigo,La Liga,24,1999,3.7,35,62,27,0,53,73,53,0,0,0,0,0,0,0,0,0
79,79,Jim Allevinah (Clermont Foot),GAB,"MF,DF",Clermont Foot,Ligue 1,28,1995,20.7,85,71,80,74,92,91,94,69,61,53,70,0,0,0,0,0
80,80,Domingos André Ribeiro Almeida (Valencia),POR,"FW,MF",Valencia,La Liga,23,2000,10.7,63,69,57,81,79,73,71,0,35,43,40,0,0,0,0,0
81,81,Miguel Almirón (Newcastle Utd),PAR,FW,Newcastle Utd,Premier League,29,1994,21.5,82,62,83,59,79,94,53,0,71,60,59,90,0,-80,0,0
82,82,Pontus Almqvist (Lecce),SWE,"FW,MF",Lecce,Serie A,24,1999,23.4,87,70,81,59,96,87,98,96,85,74,79,0,0,0,97,96
83,83,Marcos Alonso (Barcelona),ESP,DF,Barcelona,La Liga,32,1990,2.8,33,72,36,59,0,0,0,0,35,80,40,0,0,0,0,0
84,84,Adrià Altimira (Villarreal),ESP,"DF,MF",Villarreal,La Liga,22,2001,8.6,28,23,33,0,0,0,0,0,35,49,40,0,0,0,0,0
85,85,Sergi Altimira (Betis),ESP,MF,Betis,La Liga,21,2001,6.3,44,57,38,59,70,43,71,0,0,0,0,0,0,0,0,0
86,86,Edson Álvarez (West Ham),MEX,MF,West Ham,Premier League,25,1997,26.4,66,33,66,0,70,73,0,96,51,42,59,0,0,0,0,0
87,87,Gastón Álvarez (Getafe),URU,DF,Getafe,La Liga,23,2000,28.2,55,24,56,59,53,73,0,0,35,37,40,0,0,0,0,0
88,88,Hugo Álvarez (Celta Vigo),ESP,"MF,DF",Celta Vigo,La Liga,20,2003,8.5,65,85,67,74,85,0,0,0,51,67,40,0,87,0,0,0
89,89,Julián Álvarez (Manchester City),ARG,"MF,FW",Manchester City,Premier League,23,2000,29.4,98,89,97,98,85,98,71,0,98,90,98,90,0,0,97,0
90,90,Yeray Álvarez (Athletic Club),ESP,DF,Athletic Club,La Liga,28,1995,12.8,38,24,38,74,0,0,0,0,51,55,59,0,0,0,0,0
91,91,Skelly Alvero (Lyon),FRA,MF,Lyon,Ligue 1,21,2002,4.7,40,65,36,59,53,61,53,0,0,0,0,0,0,0,0,0
92,92,Skelly Alvero (Werder Bremen),FRA,MF,Werder Bremen,Bundesliga,21,2002,1.4,23,73,27,0,0,0,0,0,0,0,0,0,0,0,0,0
93,93,Papa Amadou Diallo (Metz),SEN,FW,Metz,Ligue 1,19,2004,9.9,52,52,57,0,0,43,0,69,35,45,40,0,0,0,0,0
94,94,Selim Amallah (Valencia),MAR,"FW,MF",Valencia,La Liga,26,1996,6.7,44,54,36,0,79,0,87,0,35,53,40,0,0,0,0,0
95,95,Amath (Mallorca),SEN,"FW,MF",Mallorca,La Liga,27,1996,4.4,48,88,33,0,89,61,81,69,0,0,0,0,0,0,0,0
96,96,Lorenzo Amatucci (Fiorentina),ITA,MF,Fiorentina,Serie A,19,2004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,97,Jordan Amavi (Brest),FRA,DF,Brest,Ligue 1,29,1994,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,98,Zeki Amdouni (Burnley),SUI,FW,Burnley,Premier League,22,2000,21.7,80,59,74,0,89,94,91,96,71,58,40,0,96,0,85,0
99,99,Kelvin Amian (Nantes),FRA,DF,Nantes,Ligue 1,25,1998,8.9,33,27,38,0,0,0,0,0,35,46,40,0,0,0,0,0
100,100,Bruno Amione (Hellas Verona),ARG,DF,Hellas Verona,Serie A,21,2002,6.4,20,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0
101,101,Michael Amir Murillo (Marseille),PAN,DF,Marseille,Ligue 1,27,1996,11.1,46,35,41,59,53,0,71,88,61,71,70,0,0,0,0,0
102,102,Nadiem Amiri (Mainz 05),GER,MF,Mainz 05,Bundesliga,26,1996,14.6,95,97,78,100,92,43,87,96,94,96,88,99,87,0,0,0
103,103,Nadiem Amiri (Leverkusen),GER,MF,Leverkusen,Bundesliga,26,1996,1,11,30,12,0,0,0,0,0,0,0,0,0,0,0,0,0
104,104,Kofi Amoako (Wolfsburg),GER,MF,Wolfsburg,Bundesliga,18,2005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,105,Sofyan Amrabat (Manchester Utd),MAR,"MF,DF",Manchester Utd,Premier League,26,1996,10.4,51,47,59,0,0,0,0,0,35,45,40,0,0,0,0,0
106,106,Joachim Andersen (Crystal Palace),DEN,DF,Crystal Palace,Premier League,27,1996,37.9,78,33,84,59,0,73,0,88,77,50,85,0,0,0,0,0
107,107,Elliot Anderson (Newcastle Utd),SCO,"MF,FW",Newcastle Utd,Premier League,20,2002,11.4,68,75,72,0,85,61,0,0,61,70,70,0,0,0,0,0
108,108,Felipe Anderson (Lazio),BRA,"FW,MF",Lazio,Serie A,30,1993,30.8,95,75,97,74,85,87,71,96,95,83,96,0,87,0,0,96
109,109,Benjamin André (Lille),FRA,MF,Lille,Ligue 1,32,1990,28.6,80,44,84,59,0,0,91,88,61,46,40,0,0,0,97,0
110,110,Komnen Andrić (Clermont Foot),SRB,FW,Clermont Foot,Ligue 1,28,1995,1.9,28,78,30,0,0,0,53,0,0,0,0,0,0,0,0,0
111,111,Robert Andrich (Leverkusen),GER,"MF,DF",Leverkusen,Bundesliga,28,1994,18.8,83,73,87,0,0,81,71,69,82,77,88,0,0,0,0,0
112,112,Miguel Ángel Rubio (Granada),ESP,DF,Granada,La Liga,25,1998,17.3,28,16,30,0,53,0,0,0,35,39,40,0,0,0,0,0
113,113,Angeliño (Roma),ESP,DF,Roma,Serie A,26,1997,12.7,68,67,74,74,0,43,0,0,61,67,70,0,0,0,0,0
114,114,Fabrizio Angileri (Getafe),ARG,"DF,MF",Getafe,La Liga,29,1994,1.8,35,94,38,0,0,0,53,0,0,0,0,0,0,0,0,0
115,115,Jaidon Anthony (Bournemouth),ENG,FW,Bournemouth,Premier League,23,1999,1.7,20,46,19,0,53,0,0,0,0,0,0,0,0,0,0,0
116,116,Waldemar Anton (Stuttgart),GER,DF,Stuttgart,Bundesliga,27,1996,32.1,72,33,77,0,0,81,53,69,90,72,93,0,0,-80,0,0
117,117,Michail Antonio (West Ham),JAM,FW,West Ham,Premier League,33,1990,18.8,68,45,57,59,89,73,87,88,77,71,79,0,87,0,0,0
118,118,Antony (Manchester Utd),BRA,FW,Manchester Utd,Premier League,23,2000,14.7,83,86,86,59,70,0,87,96,61,61,40,0,0,0,0,100
119,119,Christopher Antwi-Adjei (Bochum),GHA,"FW,MF",Bochum,Bundesliga,29,1994,13.5,79,83,75,92,70,73,81,0,71,74,79,0,0,0,0,0
120,120,Houssem Aouar (Roma),ALG,"MF,FW",Roma,Serie A,25,1998,8.4,54,64,47,84,53,61,71,0,0,0,0,0,0,0,0,0
121,121,Stredair Appuah (Nantes),FRA,"FW,MF",Nantes,Ligue 1,19,2004,0.9,16,55,0,0,53,43,0,0,0,0,0,0,0,0,0,0
122,122,Mauro Arambarri (Getafe),URU,MF,Getafe,La Liga,27,1995,3.8,35,61,38,0,0,0,0,69,0,0,0,0,0,0,0,0
123,123,Jon Aramburu (Real Sociedad),VEN,DF,Real Sociedad,La Liga,21,2002,6,23,21,24,0,0,43,0,0,0,0,0,0,0,0,0,0
124,124,Asaf Arania (Darmstadt 98),ISR,MF,Darmstadt 98,Bundesliga,17,2005,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,125,Julian Araujo (Las Palmas),MEX,DF,Las Palmas,La Liga,21,2001,16.2,65,49,67,74,70,0,53,69,35,39,40,0,0,0,0,0
126,126,Ronald Araújo (Barcelona),URU,DF,Barcelona,La Liga,24,1999,22.2,55,29,51,0,53,94,0,0,71,58,40,0,0,-99,0,0
127,127,Oliver Arblaster (Sheffield Utd),ENG,MF,Sheffield Utd,Premier League,19,2004,10.5,56,56,59,74,0,43,0,69,51,60,40,0,0,-80,0,0
128,128,Cameron Archer (Sheffield Utd),ENG,"FW,MF",Sheffield Utd,Premier League,22,2001,20.4,80,62,76,0,96,87,53,88,71,61,59,0,87,-80,0,0
129,129,Cameron Archer (Aston Villa),ENG,MF,Aston Villa,Premier League,22,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,130,Alphonse Areola (West Ham),FRA,GK,West Ham,Premier League,30,1993,30,16,11,12,59,0,0,0,0,0,0,0,0,0,0,0,0
131,131,Adu Ares (Athletic Club),ESP,FW,Athletic Club,La Liga,21,2001,2.9,20,30,19,0,53,0,0,0,35,78,40,0,0,0,0,0
132,132,Jesús Areso (Osasuna),ESP,DF,Osasuna,La Liga,24,1999,29.6,89,61,92,86,92,43,53,0,95,84,95,90,96,0,0,0
133,133,Simone Aresti (Cagliari),ITA,GK,Cagliari,Serie A,37,1986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,134,Matias Arezo (Granada),URU,FW,Granada,La Liga,20,2002,4.1,26,33,27,59,0,0,0,0,0,0,0,0,0,0,0,0
135,135,Iñigo Arguibide (Osasuna),ESP,DF,Osasuna,La Liga,18,2005,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,136,Yoël Armougom (Clermont Foot),FRA,"DF,MF",Clermont Foot,Ligue 1,25,1998,2.6,33,76,36,0,0,43,0,0,35,82,40,0,0,0,0,0
137,137,José Arnaiz (Osasuna),ESP,"FW,MF",Osasuna,La Liga,28,1995,10.3,73,88,49,94,70,87,98,0,77,88,40,96,0,-80,85,0
138,138,Hákon Arnar Haraldsson (Lille),ISL,"FW,MF",Lille,Ligue 1,20,2003,14.3,69,63,65,74,79,61,91,0,35,40,0,0,0,0,85,0
139,139,Marko Arnautović (Inter),AUT,FW,Inter,Serie A,34,1989,8.9,58,69,63,0,0,43,53,0,61,78,70,0,0,0,0,0
140,140,Maximilian Arnold (Wolfsburg),GER,MF,Wolfsburg,Bundesliga,29,1994,27.8,93,74,87,98,53,73,71,69,61,46,40,0,0,-95,0,0
141,141,Mohamed El Arouch (Lyon),FRA,FW,Lyon,Ligue 1,19,2004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,142,Sergio Arribas (Almería),ESP,"MF,FW",Almería,La Liga,21,2001,22.7,95,89,94,94,79,91,94,88,90,84,85,0,87,-80,85,96
143,143,Kepa Arrizabalaga (Real Madrid),ESP,GK,Real Madrid,La Liga,28,1994,13.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,144,Arthur (Leverkusen),BRA,DF,Leverkusen,Bundesliga,20,2003,2,31,82,30,59,0,0,0,69,51,98,59,0,0,0,0,0
145,145,Takuma Asano (Bochum),JPN,"FW,MF",Bochum,Bundesliga,28,1994,22.1,88,74,86,59,89,96,94,69,77,65,70,0,0,-95,0,0
146,146,Marco Asensio (Paris S-G),ESP,"MF,FW",Paris S-G,Ligue 1,27,1996,12.4,82,90,81,93,53,43,53,69,85,92,85,90,0,-80,0,0
147,147,Kristjan Asllani (Inter),ALB,MF,Inter,Serie A,21,2002,8.7,51,56,49,84,53,43,0,0,77,92,79,90,0,0,0,0
148,148,Joel Asoro (Metz),SWE,"FW,MF",Metz,Ligue 1,24,1999,9.4,54,57,45,74,70,43,91,0,61,77,40,0,87,0,85,0
149,149,Jonathan Asp Jensen (Bayern Munich),DEN,FW,Bayern Munich,Bundesliga,17,2006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,Iago Aspas (Celta Vigo),ESP,FW,Celta Vigo,La Liga,35,1987,30.1,100,96,100,99,94,96,97,0,99,94,99,96,96,-80,85,0
151,151,Lorenz Assignon (Burnley),TOG,DF,Burnley,Premier League,23,2000,13.7,56,43,57,81,53,0,53,0,51,53,59,0,0,0,0,0
152,152,Lorenz Assignon (Rennes),TOG,DF,Rennes,Ligue 1,23,2000,11.2,72,81,70,81,85,0,71,88,82,91,70,0,96,0,85,0
153,153,Youcef Atal (Nice),ALG,DF,Nice,Ligue 1,27,1996,4,40,75,41,0,53,43,53,0,35,68,40,0,0,0,0,0
154,154,Valentin Atangana Edoa (Reims),FRA,MF,Reims,Ligue 1,17,2005,6.2,28,28,19,0,0,61,53,69,0,0,0,0,0,0,0,0
155,155,Arthur Atta (Metz),FRA,"MF,FW",Metz,Ligue 1,20,2003,10.3,51,47,52,0,70,61,0,0,61,73,40,0,0,-95,0,0
156,156,Noah Atubolu (Freiburg),GER,GK,Freiburg,Bundesliga,21,2002,34,23,12,19,74,0,0,0,0,0,0,0,0,0,0,0,0
157,157,Pierre-Emerick Aubameyang (Marseille),GAB,FW,Marseille,Ligue 1,34,1989,29.1,91,66,86,0,92,100,91,69,97,88,93,0,87,-100,0,0
158,158,Emil Audero (Inter),ITA,GK,Inter,Serie A,26,1997,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,159,Tommaso Augello (Cagliari),ITA,DF,Cagliari,Serie A,28,1994,26.9,84,54,76,96,0,43,71,88,51,40,59,0,0,0,0,0
160,160,Carlos Augusto (Inter),BRA,DF,Inter,Serie A,24,1999,19.2,70,48,73,84,53,0,53,69,82,76,79,90,87,0,0,0
161,161,Yann Aurel Bisseck (Inter),GER,DF,Inter,Serie A,22,2000,10,38,29,27,0,53,61,81,0,0,0,0,0,0,0,0,0
162,162,Serge Aurier (Nott'ham Forest),CIV,"DF,MF",Nott'ham Forest,Premier League,30,1992,9.3,46,42,47,59,53,0,53,0,51,64,59,0,0,0,0,0
163,163,Ezequiel Ávila (Osasuna),ARG,"FW,MF",Osasuna,La Liga,29,1994,9.6,71,87,65,92,0,81,53,0,85,96,70,96,0,-95,0,0
164,164,Ezequiel Ávila (Betis),ARG,FW,Betis,La Liga,29,1994,3.3,35,69,24,0,70,61,71,0,35,74,0,0,0,0,85,0
165,165,Taiwo Awoniyi (Nott'ham Forest),NGA,FW,Nott'ham Forest,Premier League,25,1997,11.6,64,67,63,0,70,0,87,88,82,90,85,0,87,0,0,0
166,166,André Ayew (Le Havre),GHA,FW,Le Havre,Ligue 1,33,1989,12.3,61,56,57,0,89,61,0,88,35,42,40,0,0,0,0,0
167,167,Jordan Ayew (Crystal Palace),GHA,"FW,MF",Crystal Palace,Premier League,31,1991,28.3,90,66,83,86,89,94,99,96,95,85,96,0,87,0,85,0
168,168,Neil El Aynaoui (Lens),FRA,MF,Lens,Ligue 1,22,2001,17.4,59,37,60,0,0,43,81,69,61,57,59,0,0,0,85,0
169,169,Sardar Azmoun (Roma),IRN,"FW,MF",Roma,Serie A,28,1995,6.5,49,70,43,0,53,87,71,0,77,96,40,0,0,-95,97,0
170,170,César Azpilicueta (Atlético Madrid),ESP,DF,Atlético Madrid,La Liga,33,1989,15.8,66,52,74,74,0,0,0,0,61,60,70,0,0,0,0,0
