Rank,Player_ID,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Touches,Touches_DefPen,Touches_Def3rd,Touches_Mid3rd,Touches_Att3rd,Touches_AttPen,Live_Touches,TakeOns_Att,TakeOns_Succ,TakeOns_Succ%,Tkld_TakeOns ,Tkld_TakeOns%,Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_into_finalthird,Carries_into_PA,Miscontrolled,Dispossessed,Passes_received,Prog_passes_received
48,48,Ludovic Ajorque (Mainz 05),FRA,FW,Mainz 05,Bundesliga,29,1994,15.1,49,37,34,58,71,93,49,49,30,8,60,93,42,34,29,32,39,36,87,60,55,80
49,49,Manuel Akanji (Manchester City),SUI,"DF,MF",Manchester City,Premier League,28,1995,27.9,99,89,92,99,86,67,99,31,30,54,33,61,99,98,99,85,93,58,53,58,99,60
50,50,Marley Aké (Udinese),FRA,FW,Udinese,Serie A,22,2001,0.1,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,0,1,0
51,51,Nathan Aké (Manchester City),NED,DF,Manchester City,Premier League,28,1995,22.7,95,83,89,96,76,76,95,46,47,54,40,22,96,93,95,68,90,36,39,28,97,47
52,52,Ilias Akhomach (Villarreal),MAR,"MF,FW",Villarreal,La Liga,19,2004,16.8,57,37,44,53,87,89,57,99,99,45,99,55,62,73,78,93,91,95,90,94,63,93
53,53,Sergio Akieme (Almería),ESP,DF,Almería,La Liga,25,1997,18.6,66,69,76,67,68,58,66,83,85,66,82,52,63,61,59,71,73,49,56,75,61,75
54,54,Sergio Akieme (Reims),ESP,DF,Reims,Ligue 1,25,1997,9.1,42,60,53,45,52,43,42,60,58,43,63,61,42,45,47,62,54,58,49,55,39,59
55,55,Ebenezer Akinsanmiro (Inter),NGA,MF,Inter,Serie A,18,2004,0.2,5,0,7,11,9,0,5,0,0,0,0,0,8,11,6,0,18,0,13,21,8,0
56,56,Maghnes Akliouche (Monaco),FRA,"MF,FW",Monaco,Ligue 1,21,2002,17.9,70,34,47,70,92,91,70,89,91,65,87,45,82,84,76,85,91,88,87,96,76,90
57,57,Paul Akouokou (Betis),CIV,MF,Betis,La Liga,25,1997,0.3,10,15,15,16,14,0,10,0,0,0,0,0,9,7,5,0,0,0,0,0,10,0
58,58,Paul Akouokou (Lyon),CIV,MF,Lyon,Ligue 1,25,1997,3.4,30,43,34,39,31,16,30,31,37,89,0,0,34,28,23,0,32,0,28,21,30,21
59,59,Jean-Daniel Akpa-Akpro (Monza),CIV,MF,Monza,Serie A,30,1992,7.8,37,49,49,45,38,29,37,46,37,15,40,22,36,40,42,46,47,36,51,52,36,40
